SNP,PPI,DRUG,pQTL_protein,pQTL_protein_name,Chromosome,piQTL_peak,piQTL_left,piQTL_right,pQTL_peak,pQTL_left,pQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,pQTL_effect,pQTL_gene_dist,pQTL_cis,peak_distance,is_piQTL_peak_in_pQTL,is_pQTL_peak_in_piQTL,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description
1784,ALO1_UIP4,Fluconazole,YGR282C,BGL2; SCW9,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.3541761,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR099W,BMH2,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.306846651,133174.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YKL190W,CNB1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.312902605,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YPL154C,PEP4,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.272635628,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YJL172W,CPS1; CPS,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.268042842,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YFL018C,LPD1; DHLP1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.563084513,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YKL213C,DOA1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.288213263,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YBR252W,DUT1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.430035157,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDL014W,NOP1; LOT3,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.523491505,92086.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YNL135C,FPR1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.265928699,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR519W,FPR2; FKB2,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.292326226,959987.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YBR196C,PGI1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.189385753,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YKR039W,GAP1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.268828897,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDL135C,RDI1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.332125883,301142.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YFL017C,GNA1; PAT1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.413978302,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YPL091W,GLR1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.417210262,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YIL041W,GVP36,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.36331839,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YLR301W,HRI1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.283808092,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YLR259C,HSP60; MIF4,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.266431821,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YJR007W,SUI2; TIF211,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.39405347,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR226W,ADK1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.298486545,396052.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YPL145C,KES1; OSH4,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.539608188,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YOR123C,LEO1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.341162093,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YCL034W,LSB5,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.350246424,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YPL004C,LSP1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.167727169,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YOR298C-A,MBF1; SUF13,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.254912418,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YJR010W,MET3,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.26199429,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YHR193C,EGD2,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.398250378,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YPL037C,EGD1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.376800397,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YKR048C,NAP1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.489435419,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR432W,,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.350647918,808345.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YOR209C,NPT1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.295928517,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YER009W,NTF2,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.405752946,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR071C,PAA1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.285828088,68395.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YPR160W,GPH1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.204322851,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YGR086C,PIL1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.233892738,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YGR253C,PUP2; DOA5,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.480570266,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YML106W,URA5; PYR5,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.393138101,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YEL037C,RAD23,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.342283047,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YNL098C,RAS2,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.252967896,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YJL173C,RFA3,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.353090004,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR487C,RIB3,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.280778564,907916.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YHL001W,RPL14B,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.270773773,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YGR148C,RPL24B; RPL30B,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.329017969,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YLR185W,RPL37A; RPL35A,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.549608551,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YML073C,RPL6A,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.340410905,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YHL033C,RPL8A,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.270453602,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YGL123W,RPS2,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.339778499,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YLR388W,RPS29A,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.437054625,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDL061C,RPS29B,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.262353855,179632.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YOR096W,RPS7A; RPS30,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.261599929,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YPL218W,SAR1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.459628062,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YKL117W,SBA1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.288869888,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YGR279C,SCW4,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.34836608,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YLR208W,SEC13; ANU3,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.344650983,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YOR021C,SFM1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.35432048,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YHL034C,SBP1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.528179061,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YJR117W,STE24; AFC1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.312796898,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YBR121C,GRS1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.302138787,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YCR053W,THR4,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.381522411,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDL110C,TMA17,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.258299414,255466.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YER090W,TRP2,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.297042586,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR177W,UBC1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.346958906,296445.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YBL058W,SHP1; UBX1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.338561643,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YOR332W,VMA4; VAT5,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.295322824,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YDR372C,VPS74,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.338103418,700674.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YOR230W,WTM1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.230846848,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YFL010C,WWM1,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.340443668,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YHR020W,YHR020W,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.271253265,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YKL033W-A,YKL033W-A,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.312484654,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YLR257W,YLR257W,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.263449367,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ALO1_UIP4,Fluconazole,YMR226C,YMR226C; YM9959.08C,Chr4,520430,520430,520430,520430,520430,520430,1.173047184,4.000399741,0.0267486,0.402562428,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YCR088W,ABP1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.386025725,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YGL256W,ADH4; ZRG5,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.25229075,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YMR318C,ADH6,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.275790199,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YBR286W,APE3,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.222798968,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YGR124W,ASN2,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.295912508,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YHR208W,BAT1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.29151432,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YGR282C,BGL2; SCW9,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.3541761,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YDR099W,BMH2,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.306846651,133174.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YKL190W,CNB1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.312902605,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YPL154C,PEP4,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.272635628,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YJL172W,CPS1; CPS,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.268042842,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YFL018C,LPD1; DHLP1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.563084513,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YKL213C,DOA1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.288213263,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YBR252W,DUT1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.430035157,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YDL014W,NOP1; LOT3,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.523491505,92086.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YNL135C,FPR1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.265928699,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YDR519W,FPR2; FKB2,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.292326226,959987.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YBR196C,PGI1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.189385753,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YKR039W,GAP1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.268828897,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YDL135C,RDI1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.332125883,301142.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YFL017C,GNA1; PAT1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.413978302,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YPL091W,GLR1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.417210262,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YIL041W,GVP36,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.36331839,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YLR301W,HRI1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.283808092,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YLR259C,HSP60; MIF4,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.266431821,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YJR007W,SUI2; TIF211,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.39405347,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YDR226W,ADK1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.298486545,396052.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YPL145C,KES1; OSH4,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.539608188,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YOR123C,LEO1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.341162093,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YCL034W,LSB5,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.350246424,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YPL004C,LSP1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.167727169,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YOR298C-A,MBF1; SUF13,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.254912418,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YJR010W,MET3,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.26199429,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YHR193C,EGD2,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.398250378,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YPL037C,EGD1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.376800397,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YKR048C,NAP1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.489435419,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YDR432W,,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.350647918,808345.0,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YOR209C,NPT1,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.295928517,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
1784,ERG11_HYR1,Fluconazole,YER009W,NTF2,Chr4,520430,520430,520430,520430,520430,520430,0.938947975,4.033380009,0.025060059,0.405752946,inf,False,0,True,True,YDRCdelta6a,YDRCdelta6a,"""Ty1 LTR"""
