SNP,beta,PPI,DRUG
7430,1.541883204,HNM1_RBD2,Fluconazole
10211,-0.571064667,HNM1_RBD2,Fluconazole
10213,-0.625346865,HNM1_RBD2,Fluconazole
10220,-0.565917291,HNM1_RBD2,Fluconazole
10227,-0.513249688,HNM1_RBD2,Fluconazole
10228,-0.972673298,HNM1_RBD2,Fluconazole
10229,-0.540697201,HNM1_RBD2,Fluconazole
10233,-0.488040753,HNM1_RBD2,Fluconazole
11744,0.477433829,HNM1_RBD2,Fluconazole
5741,-0.426433651,HNM1_RBD2,Metformin
5745,-0.401959781,HNM1_RBD2,Metformin
9446,-0.404301208,HNM1_RBD2,Metformin
10208,-0.5194535,HNM1_RBD2,Metformin
10214,-0.436537798,HNM1_RBD2,Metformin
11701,0.518593816,HNM1_RBD2,Trifluoperazine
9718,-1.383756437,HNM1_RBD2,noDrug
11699,0.497009709,HNM1_RBD2,noDrug
3817,0.589486337,HNM1_TPO1,Fluconazole
10208,-0.671410609,HNM1_TPO1,Fluconazole
10213,-0.599144253,HNM1_TPO1,Fluconazole
11910,-0.580181216,HNM1_TPO2,5-FC
11912,-0.63697255,HNM1_TPO2,5-FC
981,0.680553827,HNM1_TPO2,Fluconazole
5713,-0.586869005,HNM1_TPO2,Fluconazole
7983,0.580870267,HNM1_TPO2,Fluconazole
10210,-0.742659734,HNM1_TPO2,Fluconazole
10213,-0.707573898,HNM1_TPO2,Fluconazole
2926,-0.452344551,HNM1_TPO2,Metformin
4529,-0.349802474,HNM1_TPO2,Metformin
4533,-0.350230521,HNM1_TPO2,Metformin
4657,-0.408490585,HNM1_TPO2,Metformin
11912,-0.359339589,HNM1_TPO2,Metformin
277,0.548474918,HNM1_TPO2,Trifluoperazine
11912,-0.556517059,HNM1_TPO2,Trifluoperazine
11912,-0.615896721,HNM1_TPO2,noDrug
11900,-0.580220473,HNM1_TPO4,5-FC
11929,-0.554005799,HNM1_TPO4,5-FC
11940,-0.556552594,HNM1_TPO4,5-FC
11946,-0.554391388,HNM1_TPO4,5-FC
5618,-0.600660526,HNM1_TPO4,Fluconazole
10210,-0.761488118,HNM1_TPO4,Fluconazole
10213,-0.700061765,HNM1_TPO4,Fluconazole
10222,-0.603869888,HNM1_TPO4,Fluconazole
10234,-0.612842594,HNM1_TPO4,Fluconazole
2312,0.329049278,HNM1_TPO4,Metformin
8816,0.325877243,HNM1_TPO4,Metformin
10480,-0.398408702,HNM1_TPO4,Metformin
11901,-0.327571582,HNM1_TPO4,Metformin
11900,-0.543667534,HNM1_TPO4,noDrug
11924,-0.536111465,HNM1_TPO4,noDrug
11929,-0.594163026,HNM1_TPO4,noDrug
11931,-1.104385309,HNM1_TPO4,noDrug
11940,-0.544899861,HNM1_TPO4,noDrug
5766,-0.564390945,HUG1_ADE17,5-FC
5776,-1.259447854,HUG1_ADE17,5-FC
6437,1.060573905,HUG1_ADE17,5-FC
11141,-2.119711097,HUG1_ADE17,5-FC
11900,-0.62512873,HUG1_ADE17,5-FC
11940,-0.583995728,HUG1_ADE17,5-FC
11944,-0.580454644,HUG1_ADE17,5-FC
5736,-0.553619638,HUG1_ADE17,Fluconazole
9956,-0.503237212,HUG1_ADE17,Metformin
11903,-0.609094075,HUG1_ADE17,Metformin
11912,-0.50704132,HUG1_ADE17,Metformin
658,0.595063452,HUG1_ADE17,Trifluoperazine
660,0.604966448,HUG1_ADE17,Trifluoperazine
1210,-1.558998315,HUG1_ADE17,Trifluoperazine
11903,-0.602786951,HUG1_ADE17,noDrug
11944,-0.585692785,HUG1_ADE17,noDrug
5792,-0.67590631,HUG1_ALO1,5-FC
9955,-1.365565177,HUG1_ALO1,5-FC
9956,-0.697098223,HUG1_ALO1,5-FC
11910,-0.765805094,HUG1_ALO1,5-FC
11912,-0.786657575,HUG1_ALO1,5-FC
11918,-1.039640361,HUG1_ALO1,5-FC
11920,-0.709829479,HUG1_ALO1,5-FC
11928,-0.723604089,HUG1_ALO1,5-FC
11931,-1.491536582,HUG1_ALO1,5-FC
11940,-0.797514998,HUG1_ALO1,5-FC
11946,-0.746495578,HUG1_ALO1,5-FC
3142,0.691860593,HUG1_ALO1,Fluconazole
3251,0.675177915,HUG1_ALO1,Fluconazole
5693,-0.736458984,HUG1_ALO1,Fluconazole
4528,-0.605295151,HUG1_ALO1,Metformin
9969,-0.561050018,HUG1_ALO1,Metformin
10480,-0.589816637,HUG1_ALO1,Metformin
11899,-0.592381829,HUG1_ALO1,Metformin
667,1.258756181,HUG1_ALO1,Trifluoperazine
11940,-0.622174001,HUG1_ALO1,Trifluoperazine
11946,-0.573292362,HUG1_ALO1,Trifluoperazine
667,1.462465774,HUG1_ALO1,noDrug
9955,-1.351455334,HUG1_ALO1,noDrug
9960,-0.652844688,HUG1_ALO1,noDrug
11910,-0.666322331,HUG1_ALO1,noDrug
11915,-0.668527421,HUG1_ALO1,noDrug
11929,-0.696497203,HUG1_ALO1,noDrug
11931,-1.37137394,HUG1_ALO1,noDrug
11940,-0.757975724,HUG1_ALO1,noDrug
11946,-0.720560071,HUG1_ALO1,noDrug
667,1.479721548,HUG1_PGM2,5-FC
4528,-0.7202409,HUG1_PGM2,5-FC
9955,-1.377343519,HUG1_PGM2,5-FC
9960,-0.727201119,HUG1_PGM2,5-FC
9995,-1.364397145,HUG1_PGM2,5-FC
10002,-1.508677481,HUG1_PGM2,5-FC
10425,-0.707435324,HUG1_PGM2,5-FC
11900,-0.749113322,HUG1_PGM2,5-FC
11912,-0.711877932,HUG1_PGM2,5-FC
11932,-0.672229192,HUG1_PGM2,5-FC
3142,0.631012808,HUG1_PGM2,Fluconazole
4528,-0.688490591,HUG1_PGM2,Fluconazole
4528,-0.51232146,HUG1_PGM2,Metformin
10425,-0.515972239,HUG1_PGM2,Metformin
10438,-0.858092107,HUG1_PGM2,Metformin
10480,-0.616597598,HUG1_PGM2,Metformin
11899,-0.523797516,HUG1_PGM2,Metformin
10438,-1.014204764,HUG1_PGM2,Trifluoperazine
11910,-0.658353624,HUG1_PGM2,Trifluoperazine
11912,-0.629307496,HUG1_PGM2,Trifluoperazine
667,1.560253988,HUG1_PGM2,noDrug
9955,-1.356648249,HUG1_PGM2,noDrug
9960,-0.674966304,HUG1_PGM2,noDrug
11910,-0.732899937,HUG1_PGM2,noDrug
11912,-0.774357789,HUG1_PGM2,noDrug
11921,-0.676226523,HUG1_PGM2,noDrug
11927,-0.681811535,HUG1_PGM2,noDrug
11935,-0.763861767,HUG1_PGM2,noDrug
11944,-0.753117599,HUG1_PGM2,noDrug
254,0.604885235,MID2_MAM33,Fluconazole
260,0.643719537,MID2_MAM33,Fluconazole
264,0.627898552,MID2_MAM33,Fluconazole
268,0.682071063,MID2_MAM33,Fluconazole
4530,-0.634644151,MID2_MAM33,Fluconazole
10023,2.033066126,MID2_MAM33,Fluconazole
4732,1.068667727,MID2_MAM33,Metformin
667,1.454465778,MID2_MAM33,Trifluoperazine
10438,-1.044792047,MID2_MAM33,Trifluoperazine
11928,-0.608543407,MID2_MAM33,Trifluoperazine
667,1.412260856,MID2_MAM33,noDrug
10438,-1.008900898,MID2_MAM33,noDrug
11912,-0.634328541,MID2_MAM33,noDrug
11924,-0.647842736,MID2_MAM33,noDrug
11928,-0.703393014,MID2_MAM33,noDrug
11931,-1.301766085,MID2_MAM33,noDrug
11940,-0.669965433,MID2_MAM33,noDrug
667,1.143411731,MID2_PIN2,5-FC
3871,0.736971682,MID2_PIN2,5-FC
10438,-0.868009317,MID2_PIN2,5-FC
10456,-1.817407447,MID2_PIN2,5-FC
10480,-0.54928066,MID2_PIN2,5-FC
11898,-0.529128774,MID2_PIN2,5-FC
7430,1.74573052,MID2_PIN2,Fluconazole
11921,-0.616278127,MID2_PIN2,Fluconazole
11929,-0.647336932,MID2_PIN2,Fluconazole
11940,-0.600733104,MID2_PIN2,Fluconazole
10425,-0.477136249,MID2_PIN2,Metformin
10438,-0.788050885,MID2_PIN2,Metformin
10456,-1.48969644,MID2_PIN2,Metformin
10480,-0.598898988,MID2_PIN2,Metformin
11899,-0.477990194,MID2_PIN2,Metformin
22,3.570787869,MID2_PIN2,Trifluoperazine
8520,-0.579380803,MID2_PIN2,Trifluoperazine
11912,-0.516405827,MID2_PIN2,Trifluoperazine
11928,-0.511649288,MID2_PIN2,Trifluoperazine
22,3.778868856,MID2_PIN2,noDrug
10438,-1.077004579,MID2_RSN1,5-FC
10480,-0.583090979,MID2_RSN1,5-FC
11897,-0.575295995,MID2_RSN1,5-FC
10438,-1.041686448,MID2_RSN1,Metformin
10456,-1.697837035,MID2_RSN1,Metformin
10480,-0.5687345,MID2_RSN1,Metformin
11900,-0.501491906,MID2_RSN1,noDrug
11915,-0.500045661,MID2_RSN1,noDrug
11917,-0.998436769,MID2_RSN1,noDrug
11924,-0.488307239,MID2_RSN1,noDrug
11929,-0.527952764,MID2_RSN1,noDrug
11931,-1.09543873,MID2_RSN1,noDrug
11940,-0.570890123,MID2_RSN1,noDrug
11946,-0.543494824,MID2_RSN1,noDrug
10438,-1.01566041,MID2_TPO2,5-FC
11542,0.60472225,MID2_TPO2,5-FC
968,0.677333895,MID2_TPO2,Fluconazole
1784,1.297480072,MID2_TPO2,Fluconazole
4097,-1.428176157,MID2_TPO2,Fluconazole
5311,-1.244096944,MID2_TPO2,Fluconazole
5317,-0.672005177,MID2_TPO2,Fluconazole
11929,-0.657669408,MID2_TPO2,Fluconazole
4528,-0.465612617,MID2_TPO2,Metformin
4533,-0.447594846,MID2_TPO2,Metformin
4545,-0.459654607,MID2_TPO2,Metformin
4551,-0.439697797,MID2_TPO2,Metformin
4571,-0.411931383,MID2_TPO2,Metformin
8522,-0.63766761,MID2_TPO2,Metformin
10425,-0.425943595,MID2_TPO2,Metformin
10438,-0.705185704,MID2_TPO2,Metformin
10480,-0.464240292,MID2_TPO2,Metformin
10438,-1.023169786,MID2_TPO2,Trifluoperazine
10480,-0.579050652,MID2_TPO2,Trifluoperazine
11900,-0.486269745,MID2_TPO2,noDrug
11915,-0.517680006,MID2_TPO2,noDrug
11918,-0.729418988,MID2_TPO2,noDrug
11924,-0.474350063,MID2_TPO2,noDrug
11929,-0.513969263,MID2_TPO2,noDrug
11931,-1.093694608,MID2_TPO2,noDrug
11940,-0.559659018,MID2_TPO2,noDrug
11942,-0.525573544,MID2_TPO2,noDrug
653,0.644005656,MID2_TPO4,5-FC
9433,-0.622054577,MID2_TPO4,5-FC
11897,-0.59846258,MID2_TPO4,5-FC
1784,1.327754961,MID2_TPO4,Fluconazole
3099,0.707676698,MID2_TPO4,Fluconazole
3100,1.275898538,MID2_TPO4,Fluconazole
3105,0.664621129,MID2_TPO4,Fluconazole
5776,-1.408734614,MID2_TPO4,Fluconazole
8629,0.932809889,MID2_TPO4,Fluconazole
8638,0.649926754,MID2_TPO4,Fluconazole
8689,0.975814193,MID2_TPO4,Fluconazole
9090,0.696565246,MID2_TPO4,Fluconazole
11940,-0.617254093,MID2_TPO4,Fluconazole
10438,-0.589139794,MID2_TPO4,Metformin
10480,-0.361351129,MID2_TPO4,Metformin
10425,-0.575152898,MID2_TPO4,Trifluoperazine
6201,-0.934044293,MID2_TPO4,noDrug
8616,0.548830063,MID2_TPO4,noDrug
8623,0.510390696,MID2_TPO4,noDrug
8633,0.540953472,MID2_TPO4,noDrug
8807,0.579076307,MID2_WSC2,5-FC
11542,0.567243355,MID2_WSC2,5-FC
905,0.690455762,MID2_WSC2,Fluconazole
910,0.615170241,MID2_WSC2,Fluconazole
911,0.644705807,MID2_WSC2,Fluconazole
915,1.142425591,MID2_WSC2,Fluconazole
917,0.832076372,MID2_WSC2,Fluconazole
920,1.163535385,MID2_WSC2,Fluconazole
924,0.636290695,MID2_WSC2,Fluconazole
2862,-0.687928808,MID2_WSC2,Fluconazole
8807,0.648607599,MID2_WSC2,Fluconazole
8810,0.60679747,MID2_WSC2,Fluconazole
7484,0.512623694,MID2_WSC2,Metformin
8807,0.529872409,MID2_WSC2,Metformin
10415,-0.542481579,MID2_WSC2,Metformin
10420,-0.503150408,MID2_WSC2,Metformin
10425,-0.529256092,MID2_WSC2,Metformin
925,0.58416595,MID2_WSC2,Trifluoperazine
928,0.604538052,MID2_WSC2,Trifluoperazine
8807,0.581733315,MID2_WSC2,Trifluoperazine
11540,0.574505448,MID2_WSC2,Trifluoperazine
2180,-2.500593194,MID2_WSC2,noDrug
11910,-0.763202472,PLM2_HNM1,5-FC
11912,-0.800454061,PLM2_HNM1,5-FC
11918,-1.032166623,PLM2_HNM1,5-FC
11920,-0.758868475,PLM2_HNM1,5-FC
11928,-0.704384677,PLM2_HNM1,5-FC
11931,-1.491026657,PLM2_HNM1,5-FC
11940,-0.65860502,PLM2_HNM1,5-FC
11946,-0.630312537,PLM2_HNM1,5-FC
575,-0.55909594,PLM2_HNM1,Fluconazole
598,-0.655866383,PLM2_HNM1,Fluconazole
3140,0.588050773,PLM2_HNM1,Fluconazole
11929,-0.599733064,PLM2_HNM1,Fluconazole
11931,-1.107797889,PLM2_HNM1,Fluconazole
11938,-0.594048655,PLM2_HNM1,Fluconazole
11946,-0.595898281,PLM2_HNM1,Fluconazole
277,0.533922989,PLM2_HNM1,Metformin
11900,-0.514074257,PLM2_HNM1,Metformin
11912,-0.512943592,PLM2_HNM1,Metformin
11917,-1.030689759,PLM2_HNM1,Metformin
11929,-0.497968179,PLM2_HNM1,Metformin
11931,-1.01036056,PLM2_HNM1,Metformin
7430,1.529672784,PLM2_HNM1,Trifluoperazine
10419,-0.593394759,PLM2_HNM1,Trifluoperazine
10438,-0.825854819,PLM2_HNM1,Trifluoperazine
925,0.567451907,PLM2_HNM1,noDrug
11910,-0.681688305,PLM2_HNM1,noDrug
11915,-0.746711394,PLM2_HNM1,noDrug
11917,-1.277505178,PLM2_HNM1,noDrug
11920,-0.752927786,PLM2_HNM1,noDrug
11929,-0.756743859,PLM2_HNM1,noDrug
11931,-1.548296754,PLM2_HNM1,noDrug
11934,-0.710540793,PLM2_HNM1,noDrug
11944,-0.690294845,PLM2_HNM1,noDrug
7430,1.567672671,PLM2_SNA3,5-FC
9431,-0.590393918,PLM2_SNA3,5-FC
7430,1.459028454,PLM2_SNA3,Fluconazole
9574,1.396325378,PLM2_SNA3,Fluconazole
10023,1.838967855,PLM2_SNA3,Fluconazole
10211,-0.522049055,PLM2_SNA3,Fluconazole
2525,0.459640962,PLM2_SNA3,Metformin
2530,0.465482684,PLM2_SNA3,Metformin
4098,-1.383712148,PLM2_SNA3,Trifluoperazine
7430,1.952766179,PLM2_SNA3,Trifluoperazine
7430,1.522702669,PLM2_SNA3,noDrug
1920,0.629315526,PMC1_CTR2,5-FC
10438,-1.019364969,PMC1_CTR2,5-FC
11910,-0.733465402,PMC1_CTR2,5-FC
11912,-0.737531808,PMC1_CTR2,5-FC
11917,-1.263660715,PMC1_CTR2,5-FC
11920,-0.743641544,PMC1_CTR2,5-FC
11928,-0.785257889,PMC1_CTR2,5-FC
11931,-1.564113929,PMC1_CTR2,5-FC
11940,-0.81685075,PMC1_CTR2,5-FC
11942,-0.77132116,PMC1_CTR2,5-FC
11948,-0.697803603,PMC1_CTR2,5-FC
11929,-0.602181,PMC1_CTR2,Fluconazole
11940,-0.656168009,PMC1_CTR2,Fluconazole
11946,-0.652611009,PMC1_CTR2,Fluconazole
10438,-0.844415834,PMC1_CTR2,Metformin
10480,-0.551757147,PMC1_CTR2,Metformin
11898,-0.57970934,PMC1_CTR2,Metformin
11912,-0.505778855,PMC1_CTR2,Metformin
11940,-0.500953258,PMC1_CTR2,Metformin
11944,-0.486198897,PMC1_CTR2,Metformin
667,1.373757852,PMC1_CTR2,Trifluoperazine
10438,-1.113573238,PMC1_CTR2,Trifluoperazine
11940,-0.619057735,PMC1_CTR2,Trifluoperazine
11944,-0.60779557,PMC1_CTR2,Trifluoperazine
667,1.358735493,PMC1_CTR2,noDrug
6983,0.653262587,PMC1_CTR2,noDrug
6988,0.629425214,PMC1_CTR2,noDrug
11910,-0.614421289,PMC1_CTR2,noDrug
11928,-0.662390707,PMC1_CTR2,noDrug
11931,-1.240927443,PMC1_CTR2,noDrug
11940,-0.700219253,PMC1_CTR2,noDrug
11944,-0.694019308,PMC1_CTR2,noDrug
1920,0.613009769,PMC1_GTR2,5-FC
10438,-0.970938041,PMC1_GTR2,5-FC
11900,-0.691219366,PMC1_GTR2,5-FC
11912,-0.697205812,PMC1_GTR2,5-FC
11924,-0.682218472,PMC1_GTR2,5-FC
11928,-0.775841153,PMC1_GTR2,5-FC
11931,-1.432144226,PMC1_GTR2,5-FC
11940,-0.784412908,PMC1_GTR2,5-FC
11946,-0.757740262,PMC1_GTR2,5-FC
11948,-0.643521392,PMC1_GTR2,5-FC
3134,0.788669057,PMC1_GTR2,Fluconazole
9427,-0.753104776,PMC1_GTR2,Fluconazole
11928,-0.715060675,PMC1_GTR2,Fluconazole
10438,-0.900247847,PMC1_GTR2,Metformin
11898,-0.556821248,PMC1_GTR2,Metformin
11912,-0.524940424,PMC1_GTR2,Metformin
11920,-0.502572736,PMC1_GTR2,Metformin
11928,-0.506933477,PMC1_GTR2,Metformin
11940,-0.542054038,PMC1_GTR2,Metformin
11946,-0.542476613,PMC1_GTR2,Metformin
10438,-1.136920239,PMC1_GTR2,Trifluoperazine
11910,-0.705559683,PMC1_GTR2,Trifluoperazine
11912,-0.696732326,PMC1_GTR2,Trifluoperazine
11924,-0.732632448,PMC1_GTR2,Trifluoperazine
11928,-0.792951389,PMC1_GTR2,Trifluoperazine
11931,-1.474140274,PMC1_GTR2,Trifluoperazine
11940,-0.836674914,PMC1_GTR2,Trifluoperazine
11946,-0.78620041,PMC1_GTR2,Trifluoperazine
11948,-0.66124495,PMC1_GTR2,Trifluoperazine
648,0.666610162,PMC1_GTR2,noDrug
667,1.3389086,PMC1_GTR2,noDrug
10438,-1.055702762,PMC1_GTR2,noDrug
11910,-0.647725688,PMC1_GTR2,noDrug
11912,-0.661447818,PMC1_GTR2,noDrug
11924,-0.691786992,PMC1_GTR2,noDrug
11928,-0.735850751,PMC1_GTR2,noDrug
11931,-1.395208756,PMC1_GTR2,noDrug
11940,-0.790985267,PMC1_GTR2,noDrug
11946,-0.737724084,PMC1_GTR2,noDrug
11948,-0.620458239,PMC1_GTR2,noDrug
2274,0.421531101,RET2_EMP47,5-FC
2528,0.449072587,RET2_EMP47,5-FC
3871,0.572317527,RET2_EMP47,5-FC
649,0.426566104,RET2_EMP47,Fluconazole
981,0.507203036,RET2_EMP47,Fluconazole
3142,0.4162044,RET2_EMP47,Fluconazole
3147,0.414933342,RET2_EMP47,Fluconazole
6174,-0.395930029,RET2_EMP47,Fluconazole
7430,1.023426817,RET2_EMP47,Fluconazole
3871,0.434819058,RET2_EMP47,Metformin
8367,0.661368532,RET2_EMP47,Metformin
8774,0.315516407,RET2_EMP47,Metformin
10480,-0.349912142,RET2_EMP47,Metformin
22,2.595290478,RET2_EMP47,Trifluoperazine
10425,-0.412062616,RET2_EMP47,Trifluoperazine
11899,-0.438797032,RET2_EMP47,Trifluoperazine
2274,0.472752006,RET2_EMP47,noDrug
779,-0.446317665,RET2_EMP70,5-FC
10480,-0.408272804,RET2_EMP70,5-FC
11904,-0.404220246,RET2_EMP70,5-FC
649,0.428843453,RET2_EMP70,Fluconazole
981,0.513033366,RET2_EMP70,Fluconazole
3100,0.787907788,RET2_EMP70,Fluconazole
3139,0.410349966,RET2_EMP70,Fluconazole
10210,-0.43930966,RET2_EMP70,Fluconazole
10213,-0.430486898,RET2_EMP70,Fluconazole
1142,0.420132496,RET2_EMP70,Metformin
5793,-0.747438595,RET2_EMP70,Metformin
5793,-0.794433686,RET2_EMP70,Trifluoperazine
11903,-0.434159949,RET2_EMP70,Trifluoperazine
2847,-0.447673328,RET2_EMP70,noDrug
2866,-0.457654845,RET2_EMP70,noDrug
779,-0.438358233,RET2_SNA3,5-FC
11900,-0.448674196,RET2_SNA3,5-FC
3357,-0.395742447,RET2_SNA3,Fluconazole
3369,-0.412939934,RET2_SNA3,Fluconazole
6430,-0.439728292,RET2_SNA3,Fluconazole
2312,0.408856395,RET2_SNA3,Metformin
2523,0.409414567,RET2_SNA3,Metformin
3563,-0.684944567,RET2_SNA3,Metformin
5793,-0.761299218,RET2_SNA3,Trifluoperazine
2752,0.623420643,RET2_SNA3,noDrug
5793,-0.725296525,RET2_SNA3,noDrug
11897,-0.392602904,RET2_SNA3,noDrug
10438,-0.831399063,SNA4_GTR2,5-FC
10480,-0.547957713,SNA4_GTR2,5-FC
11908,-0.571590322,SNA4_GTR2,5-FC
11912,-0.607887428,SNA4_GTR2,5-FC
11928,-0.510034512,SNA4_GTR2,5-FC
3357,-0.571364885,SNA4_GTR2,Fluconazole
3363,-0.691059436,SNA4_GTR2,Fluconazole
3445,-0.608211651,SNA4_GTR2,Fluconazole
8522,-0.820595974,SNA4_GTR2,Trifluoperazine
11912,-0.532101861,SNA4_GTR2,Trifluoperazine
11940,-0.525681261,SNA4_GTR2,Trifluoperazine
11946,-0.531353717,SNA4_GTR2,Trifluoperazine
344,-1.543480348,SNA4_GTR2,noDrug
11912,-0.599303383,SNA4_GTR2,noDrug
3143,0.532714753,SNA4_VAC8,Fluconazole
3144,1.109562707,SNA4_VAC8,Fluconazole
5678,-0.332902188,SNA4_VAC8,Metformin
11373,-0.316513017,SNA4_VAC8,Metformin
5415,-0.95851484,SNA4_VAC8,Trifluoperazine
3071,0.87952738,SNA4_VAC8,noDrug
653,0.594255946,SRO9_DHH1,5-FC
667,1.223756363,SRO9_DHH1,5-FC
10438,-0.970877161,SRO9_DHH1,5-FC
10456,-1.73284706,SRO9_DHH1,5-FC
11900,-0.61852142,SRO9_DHH1,5-FC
11912,-0.615281024,SRO9_DHH1,5-FC
11924,-0.565610023,SRO9_DHH1,5-FC
11929,-0.611387033,SRO9_DHH1,5-FC
11931,-1.24470489,SRO9_DHH1,5-FC
3134,0.662655809,SRO9_DHH1,Fluconazole
7430,1.675032126,SRO9_DHH1,Fluconazole
10848,-0.593258426,SRO9_DHH1,Fluconazole
11912,-0.599364134,SRO9_DHH1,Fluconazole
11929,-0.631791953,SRO9_DHH1,Fluconazole
10480,-0.349079266,SRO9_DHH1,Metformin
11897,-0.371189954,SRO9_DHH1,Metformin
370,-0.663812464,SRO9_DHH1,Trifluoperazine
10438,-0.893761827,SRO9_DHH1,Trifluoperazine
11897,-0.577769989,SRO9_DHH1,Trifluoperazine
11910,-0.620973943,SRO9_DHH1,noDrug
11912,-0.647679439,SRO9_DHH1,noDrug
11917,-1.098545162,SRO9_DHH1,noDrug
11924,-0.603866118,SRO9_DHH1,noDrug
11929,-0.619440551,SRO9_DHH1,noDrug
11931,-1.235293665,SRO9_DHH1,noDrug
11940,-0.5729583,SRO9_DHH1,noDrug
527,-4.798446914,SRO9_GIS2,5-FC
7084,4.673893261,SRO9_GIS2,5-FC
10479,-0.338019404,SRO9_GIS2,5-FC
10508,-0.496059744,SRO9_GIS2,Fluconazole
8804,0.243328601,SRO9_GIS2,Metformin
10182,-0.342316282,SRO9_GIS2,Metformin
10204,-0.49218497,SRO9_GIS2,Metformin
10438,-0.516274493,SRO9_GIS2,Trifluoperazine
648,0.496232036,SRO9_GIS2,noDrug
653,0.465185836,SRO9_GIS2,noDrug
11910,-0.459924934,SRO9_GIS2,noDrug
11912,-0.453800695,SRO9_GIS2,noDrug
11940,-0.474055177,SRO9_GIS2,noDrug
11942,-0.468390779,SRO9_GIS2,noDrug
10425,-0.437251539,SRO9_SGN1,5-FC
10438,-0.833020369,SRO9_SGN1,5-FC
10480,-0.591116044,SRO9_SGN1,5-FC
9430,-0.54034752,SRO9_SGN1,Fluconazole
8805,0.235151502,SRO9_SGN1,Metformin
8816,0.226172442,SRO9_SGN1,Metformin
11273,0.24022453,SRO9_SGN1,Metformin
10438,-0.705571808,SRO9_SGN1,Trifluoperazine
10480,-0.582671928,SRO9_SGN1,Trifluoperazine
10438,-0.847472346,SRO9_SGN1,noDrug
10480,-0.576271564,SRO9_SGN1,noDrug
10438,-0.895494942,SSH1_ERG11,5-FC
10480,-0.602347472,SSH1_ERG11,5-FC
1505,-1.186169747,SSH1_ERG11,Fluconazole
4275,0.601333678,SSH1_ERG11,Fluconazole
4282,0.723393233,SSH1_ERG11,Fluconazole
4291,0.69141353,SSH1_ERG11,Fluconazole
4891,0.572092679,SSH1_ERG11,Fluconazole
4900,0.669623827,SSH1_ERG11,Fluconazole
8894,-0.681398919,SSH1_ERG11,Fluconazole
10207,-0.625973652,SSH1_ERG11,Fluconazole
10210,-0.691249767,SSH1_ERG11,Fluconazole
10213,-0.623583107,SSH1_ERG11,Fluconazole
10220,-0.60382991,SSH1_ERG11,Fluconazole
2274,0.355612791,SSH1_ERG11,Metformin
3045,0.369116866,SSH1_ERG11,Metformin
10438,-0.722698127,SSH1_ERG11,Metformin
10480,-0.398903534,SSH1_ERG11,Metformin
282,0.616502076,SSH1_ERG11,Trifluoperazine
369,0.736553316,SSH1_ERG11,Trifluoperazine
10438,-0.974229933,SSH1_ERG11,Trifluoperazine
280,0.597021897,SSH1_ERG11,noDrug
10438,-1.145872433,SSH1_ERG11,noDrug
10480,-0.587664501,SSH1_ERG11,noDrug
282,0.617204919,SSH1_ERV25,5-FC
10438,-1.111364002,SSH1_ERV25,5-FC
11898,-0.617345557,SSH1_ERV25,5-FC
3134,0.699890212,SSH1_ERV25,Fluconazole
3142,0.650378982,SSH1_ERV25,Fluconazole
11927,-0.642606292,SSH1_ERV25,Fluconazole
282,0.41495287,SSH1_ERV25,Metformin
10208,-0.50920411,SSH1_ERV25,Metformin
10438,-0.730757673,SSH1_ERV25,Metformin
10456,-1.450028698,SSH1_ERV25,Metformin
277,0.646116492,SSH1_ERV25,Trifluoperazine
369,0.797191455,SSH1_ERV25,Trifluoperazine
10438,-1.148405912,SSH1_ERV25,Trifluoperazine
11898,-0.599727496,SSH1_ERV25,Trifluoperazine
369,0.882280288,SSH1_ERV25,noDrug
10438,-1.125149249,SSH1_ERV25,noDrug
11898,-0.622189646,SSH1_ERV25,noDrug
11912,-0.635611298,SSH1_ERV25,noDrug
11928,-0.634523853,SSH1_ERV25,noDrug
10419,-0.776700597,SSH1_ORM2,5-FC
10438,-1.184113531,SSH1_ORM2,5-FC
10456,-1.879322036,SSH1_ORM2,5-FC
3099,0.59107344,SSH1_ORM2,Fluconazole
3105,0.570275808,SSH1_ORM2,Fluconazole
3139,0.590850364,SSH1_ORM2,Fluconazole
3757,-0.677483633,SSH1_ORM2,Fluconazole
3759,-0.601484345,SSH1_ORM2,Fluconazole
8894,-0.592863012,SSH1_ORM2,Fluconazole
265,0.458106992,SSH1_ORM2,Metformin
10419,-0.560231464,SSH1_ORM2,Metformin
10438,-0.89884267,SSH1_ORM2,Metformin
10456,-1.367261115,SSH1_ORM2,Metformin
10480,-0.525744306,SSH1_ORM2,Metformin
9283,-0.576136458,SSH1_ORM2,Trifluoperazine
10419,-0.712600138,SSH1_ORM2,Trifluoperazine
10438,-1.139502324,SSH1_ORM2,Trifluoperazine
274,0.594273968,SSH1_ORM2,noDrug
10419,-0.790892148,SSH1_ORM2,noDrug
10420,-0.630660578,SSH1_ORM2,noDrug
10425,-0.618549188,SSH1_ORM2,noDrug
10438,-1.424358323,SSH1_ORM2,noDrug
10456,-2.16888968,SSH1_ORM2,noDrug
51,-0.750117584,SSH1_PIS1,5-FC
3139,0.560346154,SSH1_PIS1,Fluconazole
3755,-0.553911035,SSH1_PIS1,Fluconazole
10208,-0.652015142,SSH1_PIS1,Fluconazole
10214,-0.631390476,SSH1_PIS1,Fluconazole
10222,-0.577861041,SSH1_PIS1,Fluconazole
51,-0.596248308,SSH1_PIS1,Metformin
51,-0.695319223,SSH1_PIS1,Trifluoperazine
