pQTL_protein,pQTL_commonName,pVal,beta,isQtn,index,chromosome,pQTL_peak,dist,cis_trans,pQTL_effect,SNP,pQTL_left,pQTL_right,pQTL_cis
YMR297W,PRC1,10.64454367,0.205788704,0,11689,16,579790,inf,trans,0.205788704,11689,554350,591786,False
YMR297W,PRC1,5.878008542,0.149153997,1,3669,6,71471,inf,trans,0.149153997,3669,62743,74913,False
YMR297W,PRC1,5.518048011,-0.143383648,0,9768,14,621027,inf,trans,0.143383648,9768,606273,647843,False
YMR297W,PRC1,4.823223295,0.13251852,0,6007,10,61708,inf,trans,0.13251852,6007,61391,68934,False
YMR297W,PRC1,4.631063031,0.12941144,0,2478,4,1246177,inf,trans,0.12941144,2478,1242195,1256208,False
YGR155W,CYS4; STR4,7.370944327,0.291205125,1,8316,12,976001,inf,trans,0.291205125,8316,960254,990758,False
YGR155W,CYS4; STR4,7.256035604,-0.157072176,0,1286,4,55290,inf,trans,0.157072176,1286,48267,62324,False
YGR155W,CYS4; STR4,5.233194724,0.171718098,0,8468,13,66821,inf,trans,0.171718098,8468,56990,75773,False
YAL039C,CYC3,20.16720065,0.331437676,1,10195,15,179652,inf,trans,0.331437676,10195,165912,185951,False
YAL039C,CYC3,8.881846771,0.18684099,0,5610,9,138636,inf,trans,0.18684099,5610,125289,144955,False
YAL039C,CYC3,6.327066196,0.155741079,1,11680,16,572345,inf,trans,0.155741079,11680,572345,572345,False
YAL039C,CYC3,5.492855429,0.152748274,0,636,2,517548,inf,trans,0.152748274,636,505207,530047,False
YKR066C,CCP1,41.59046076,0.401894954,0,7318,11,567434,594.0,cis,0.401894954,7318,559683,571825,True
YKR066C,CCP1,6.952664059,0.885633754,0,4215,7,414263,inf,trans,0.885633754,4215,414263,414263,False
YKR066C,CCP1,6.829412301,0.368811403,0,844,2,780425,inf,trans,0.368811403,844,780425,780425,False
YKR066C,CCP1,6.112013018,-0.998546828,0,4567,7,794535,inf,trans,0.998546828,4567,794535,794535,False
YKR066C,CCP1,5.653682606,0.883451375,0,10777,15,785154,inf,trans,0.883451375,10777,785154,785154,False
YKR066C,CCP1,5.047853561,0.139555178,0,10187,15,170413,inf,trans,0.139555178,10187,165912,184082,False
YMR038C,CCS1; LYS7,6.086529672,-0.213721639,1,10762,15,774673,inf,trans,0.213721639,10762,774372,785674,False
YMR038C,CCS1; LYS7,5.876917255,-0.149702371,0,11688,16,579283,inf,trans,0.149702371,11688,559542,591786,False
YMR038C,CCS1; LYS7,5.299485146,-0.139010842,1,7985,12,574586,inf,trans,0.139010842,7985,567889,586321,False
YMR038C,CCS1; LYS7,5.049888512,-0.134698655,0,9808,14,654230,inf,trans,0.134698655,9808,654230,663083,False
YMR038C,CCS1; LYS7,4.9431182,-0.133486902,0,8596,13,216599,130911.0,trans,0.133486902,8596,210558,217356,False
YJR076C,CDC11; PSL9,5.64348499,-0.20934291,1,10873,15,894338,inf,trans,0.20934291,10873,894338,894338,False
YJR076C,CDC11; PSL9,5.587820704,-0.155599759,0,1756,4,476181,inf,trans,0.155599759,1756,445208,501469,False
YJR076C,CDC11; PSL9,5.546086335,0.154985153,0,8381,12,1029017,inf,trans,0.154985153,8381,1028353,1042274,False
YHR107C,CDC12,7.971510556,0.189470223,0,7980,12,570630,inf,trans,0.189470223,7980,563476,576167,False
YLR314C,CDC3,17.43703432,0.294184767,1,10194,15,173340,inf,trans,0.294184767,10194,165912,184082,False
YLR314C,CDC3,9.404438364,-0.251113361,0,8460,13,58847,inf,trans,0.251113361,8460,55098,73225,False
YLR314C,CDC3,7.840345373,-0.171265505,0,9794,14,642447,inf,trans,0.171265505,9794,620369,648789,False
YLR314C,CDC3,5.94750151,0.141748194,0,6080,10,176228,inf,trans,0.141748194,6080,163124,189445,False
YLR314C,CDC3,5.429114339,0.37320498,0,957,3,56833,inf,trans,0.37320498,957,56833,56833,False
YLR314C,CDC3,5.102548928,-0.129063441,0,5075,8,200519,inf,trans,0.129063441,5075,191947,206590,False
YLR314C,CDC3,4.814608254,0.127880293,0,5608,9,137267,inf,trans,0.127880293,5608,122617,144955,False
YLR314C,CDC3,4.747040311,0.123763304,0,7955,12,553802,208773.0,trans,0.123763304,7955,545567,560481,False
YLR314C,CDC3,4.600565533,0.123137272,0,4518,7,729111,inf,trans,0.123137272,4518,712998,732233,False
YDL126C,CDC48,15.25834366,0.253361437,1,10191,15,171671,inf,trans,0.253361437,10191,165912,184082,False
YDL126C,CDC48,8.950563304,-0.217272694,1,10612,15,649484,inf,trans,0.217272694,10612,639239,656377,False
YDL126C,CDC48,7.174503864,-0.315006186,0,2812,5,22638,inf,trans,0.315006186,2812,22638,22638,False
YDL126C,CDC48,6.276532011,0.150253587,0,4534,7,755392,inf,trans,0.150253587,4534,751217,769305,False
YDL126C,CDC48,5.93275653,0.132154163,0,11699,16,586993,inf,trans,0.132154163,11699,572464,593213,False
YDL126C,CDC48,5.808337407,0.134775551,0,5225,8,375520,inf,trans,0.134775551,5225,372172,378565,False
YDL126C,CDC48,5.718430308,0.227191963,1,629,2,501746,inf,trans,0.227191963,629,495558,510140,False
YDL126C,CDC48,5.500418368,-0.161514574,1,1684,4,390909,152245.0,trans,0.161514574,1684,380252,397927,False
YDL126C,CDC48,5.163649914,-0.259710196,0,4784,7,1011080,inf,trans,0.259710196,4784,1011080,1011080,False
YDL126C,CDC48,4.485485143,-0.11380173,0,12050,17,74432,inf,trans,0.11380173,12050,74432,74432,False
YDL126C,CDC48,4.444772478,-0.111052662,0,3970,7,128719,inf,trans,0.111052662,3970,128719,142863,False
YDL126C,CDC48,4.327977771,-0.108875199,0,6900,11,119264,inf,trans,0.108875199,6900,102671,130533,False
YDL126C,CDC48,4.174042218,0.139830922,1,10625,15,660805,inf,trans,0.139830922,10625,653769,660805,False
YDL126C,CDC48,4.024929495,0.209249093,0,4384,7,607495,inf,trans,0.209249093,4384,607495,607495,False
YDL126C,CDC48,4.009475376,0.103557175,0,2319,4,1000959,762295.0,trans,0.103557175,2319,961744,1006085,False
YDL126C,CDC48,3.862770854,0.266848757,0,1675,4,383923,145259.0,trans,0.266848757,1675,383923,383923,False
YDL126C,CDC48,3.854415533,0.126281901,0,6400,10,586417,inf,trans,0.126281901,6400,586417,586417,False
YBR029C,CDS1; CDG1,6.929874616,-0.173530666,0,5604,9,136579,inf,trans,0.173530666,5604,114834,144955,False
YBR029C,CDS1; CDG1,5.096678011,-0.16126052,0,10197,15,180978,inf,trans,0.16126052,10197,168199,185951,False
YML036W,CGI121,7.705493714,0.276666532,0,9327,14,106872,inf,trans,0.276666532,9327,89377,116086,False
YOR020C,HSP10; CPN10,9.608776457,-0.175911071,1,1281,4,51735,inf,trans,0.175911071,1281,43687,60460,False
YOR020C,HSP10; CPN10,6.05413831,-0.135508373,0,6006,10,61545,inf,trans,0.135508373,6006,61391,68934,False
YOR020C,HSP10; CPN10,6.028858978,0.135891179,0,1079,3,188979,inf,trans,0.135891179,1079,168031,198615,False
YOR020C,HSP10; CPN10,5.554504718,0.131140727,0,10382,15,372714,1870.0,trans,0.131140727,10382,363969,382511,False
YOR020C,HSP10; CPN10,5.471185203,-0.130663817,0,3667,6,66460,inf,trans,0.130663817,3667,62743,74406,False
YOR020C,HSP10; CPN10,5.03146483,0.133854751,0,5603,9,136527,inf,trans,0.133854751,5603,125289,144699,False
YOR020C,HSP10; CPN10,4.812933406,0.251713609,0,8194,12,845781,inf,trans,0.251713609,8194,845781,845781,False
YOR020C,HSP10; CPN10,4.589927305,0.118760352,0,9375,14,176702,inf,trans,0.118760352,9375,163967,187156,False
YER163C,GCG1,7.176671381,0.197476246,1,10191,15,171671,inf,trans,0.197476246,10191,165912,184082,False
YER163C,GCG1,7.109280694,-0.170908078,0,1151,3,252801,inf,trans,0.170908078,1151,249928,259458,False
YER163C,GCG1,6.127588304,-0.217696121,1,8458,13,56990,inf,trans,0.217696121,8458,55098,73225,False
YER163C,GCG1,5.261110542,0.146049482,0,7884,12,500001,inf,trans,0.146049482,7884,449482,508853,False
YER163C,GCG1,5.140002194,0.141854577,0,5170,8,324043,inf,trans,0.141854577,5170,298467,327592,False
YER163C,GCG1,4.574840795,0.136511151,0,7218,11,452711,inf,trans,0.136511151,7218,430725,463057,False
YPR060C,ARO7; OSM2,47.88290507,-0.438390862,1,11786,16,674766,92.0,cis,0.438390862,11786,669340,676149,True
YPR060C,ARO7; OSM2,7.763807218,-0.178830727,1,10195,15,179652,inf,trans,0.178830727,10195,165912,185951,False
YPR060C,ARO7; OSM2,6.372452987,-0.393623386,1,5544,9,85177,inf,trans,0.393623386,5544,76394,94251,False
YPR060C,ARO7; OSM2,6.236426876,-0.614182349,1,1798,4,538009,inf,trans,0.614182349,1798,537994,538009,False
YPR060C,ARO7; OSM2,6.031570694,0.135918114,0,9853,14,708362,inf,trans,0.135918114,9853,701961,711992,False
YPR060C,ARO7; OSM2,5.34760272,0.316647523,1,9040,13,706506,inf,trans,0.316647523,9040,701153,714847,False
YPR060C,ARO7; OSM2,4.819419756,0.132446282,0,7388,11,635532,inf,trans,0.132446282,7388,632234,644791,False
YGR157W,CHO2; PEM1,7.271434909,-0.169510717,0,10198,15,181071,inf,trans,0.169510717,10198,168199,185951,False
YGR157W,CHO2; PEM1,6.134580497,-0.357352767,0,7383,11,628896,inf,trans,0.357352767,7383,618029,632234,False
YGR157W,CHO2; PEM1,5.876049706,0.133695486,0,9584,14,457485,inf,trans,0.133695486,9584,441787,469677,False
YGR157W,CHO2; PEM1,5.044858823,0.120993118,0,3704,6,95926,inf,trans,0.120993118,3704,95448,95926,False
YGR157W,CHO2; PEM1,5.037393069,-0.121521407,0,6529,10,696080,inf,trans,0.121521407,6529,685754,701028,False
YGR157W,CHO2; PEM1,4.349097462,0.154071703,1,8909,13,588579,inf,trans,0.154071703,8909,588567,588579,False
YGR157W,CHO2; PEM1,4.321815384,-0.356377737,0,10391,15,385655,inf,trans,0.356377737,10391,385655,385655,False
YGR157W,CHO2; PEM1,4.305941334,0.289210975,1,7381,11,628241,inf,trans,0.289210975,7381,618029,632234,False
YGR157W,CHO2; PEM1,4.200511785,0.110403229,0,7647,12,235026,inf,trans,0.110403229,7647,230601,243991,False
YLR330W,CHS5; CAL3,9.483399669,0.243115528,0,10194,15,173340,inf,trans,0.243115528,10194,165912,184082,False
YJL158C,,9.770240312,-0.181559513,0,6050,10,133312,10368.0,trans,0.181559513,6050,113623,140918,False
YJL158C,,5.954212792,0.157664204,0,10192,15,172074,inf,trans,0.157664204,10192,165912,184082,False
YJL158C,,5.770125447,0.138763326,0,8109,12,745383,inf,trans,0.138763326,8109,732202,754859,False
YNR001C,CIT1,47.56331696,0.41910166,1,10191,15,171671,inf,trans,0.41910166,10191,165912,184082,False
YNR001C,CIT1,34.83433662,0.311349436,0,11677,16,571530,inf,trans,0.311349436,11677,544393,587778,False
YNR001C,CIT1,26.35153158,0.261019019,0,5610,9,138636,inf,trans,0.261019019,5610,125289,144955,False
YNR001C,CIT1,15.92546771,0.216790309,0,642,2,523217,inf,trans,0.216790309,642,505207,530047,False
YNR001C,CIT1,12.07859854,0.173039773,0,7980,12,570630,inf,trans,0.173039773,7980,563476,576167,False
YNR001C,CIT1,9.56001229,-0.206925951,0,8458,13,56990,inf,trans,0.206925951,8458,55098,73225,False
YNR001C,CIT1,9.196776603,0.149814078,0,8107,12,738039,inf,trans,0.149814078,8107,727931,749514,False
YNR001C,CIT1,7.515417417,-0.132054231,0,7190,11,428422,inf,trans,0.132054231,7190,411456,448760,False
YNR001C,CIT1,7.488147012,-0.13818574,1,8667,13,331334,inf,trans,0.13818574,8667,329611,333904,False
YNR001C,CIT1,6.961878099,-0.126770155,0,8816,13,509524,inf,trans,0.126770155,8816,500062,513217,False
YNR001C,CIT1,6.03640048,0.115782337,1,10726,15,757677,inf,trans,0.115782337,10726,748030,766225,False
YNR001C,CIT1,5.548090067,-0.146488375,0,9721,14,599892,29732.0,trans,0.146488375,9721,599886,599892,False
YNR001C,CIT1,5.292036401,-0.308989037,0,7031,11,231612,inf,trans,0.308989037,7031,231612,231612,False
YNR001C,CIT1,5.148802345,-0.110101772,0,2857,5,38037,inf,trans,0.110101772,2857,33720,41075,False
YNR001C,CIT1,4.924415821,0.102617634,1,11217,16,114578,inf,trans,0.102617634,11217,110992,122212,False
YNR001C,CIT1,4.723244277,-0.114997363,0,6311,10,448026,inf,trans,0.114997363,6311,415918,460583,False
YNR001C,CIT1,4.718347499,-0.101336083,0,2559,4,1345654,inf,trans,0.101336083,2559,1337514,1367398,False
YNR001C,CIT1,4.531734271,0.098967548,0,7861,12,448368,inf,trans,0.098967548,7861,448368,493255,False
YNR001C,CIT1,4.393088944,0.098012332,0,10993,15,1015033,inf,trans,0.098012332,10993,1010191,1018776,False
YNR001C,CIT1,4.172365526,0.096769123,0,8311,12,974822,inf,trans,0.096769123,8311,968660,987293,False
YNR001C,CIT1,3.965976355,0.569951267,0,10777,15,785154,inf,trans,0.569951267,10777,785154,785154,False
YNR001C,CIT1,3.920961152,0.092466257,0,1898,4,590984,inf,trans,0.092466257,1898,574801,597710,False
YNR001C,CIT1,3.861044575,-0.090029318,0,6385,10,577816,inf,trans,0.090029318,6385,575574,583848,False
YCR005C,CIT2,6.070257751,-0.170035923,0,1336,4,96325,inf,trans,0.170035923,1336,90193,103991,False
YCR005C,CIT2,6.005804253,0.485242628,0,4248,7,433855,inf,trans,0.485242628,4248,433855,433855,False
YCR005C,CIT2,5.953565498,-0.155569611,0,5593,9,132718,inf,trans,0.155569611,5593,112032,144955,False
YCR005C,CIT2,5.766900126,-0.15520553,0,6946,11,155937,inf,trans,0.15520553,6946,137433,170526,False
YBR135W,CKS1,8.205160081,0.195420817,0,1761,4,480076,inf,trans,0.195420817,1761,450801,504419,False
YBR135W,CKS1,7.169380785,0.936777667,0,11539,16,383323,inf,trans,0.936777667,11539,383323,383323,False
YBR135W,CKS1,6.098484413,-0.367602869,0,232,2,59755,445093.0,trans,0.367602869,232,59755,59755,False
YBR135W,CKS1,5.715788305,0.182828971,0,649,2,538990,33690.0,trans,0.182828971,649,530047,542505,False
YBR135W,CKS1,5.295002891,0.148045621,0,1097,3,204897,inf,trans,0.148045621,1097,195779,204903,False
YBR135W,CKS1,5.270870062,-0.312273883,0,5416,8,541428,inf,trans,0.312273883,5416,541428,541428,False
YBR135W,CKS1,4.915364369,-0.31520607,0,1705,4,428805,inf,trans,0.31520607,1705,428805,428805,False
YGR167W,CLC1,13.66129043,0.286010833,0,10192,15,172074,inf,trans,0.286010833,10192,165912,184082,False
YGL206C,CHC1,6.132630738,-0.329227631,0,844,2,780425,inf,trans,0.329227631,844,780425,780425,False
YGL206C,CHC1,5.575524188,-0.252657988,1,1095,3,203261,inf,trans,0.252657988,1095,195779,204903,False
YGL206C,CHC1,5.30484832,0.123136861,0,3667,6,66460,inf,trans,0.123136861,3667,62743,74406,False
YGL206C,CHC1,4.84610376,-0.204515288,1,7032,11,234032,inf,trans,0.204515288,7032,234032,234032,False
YMR012W,CLU1; TIF31,7.067143219,0.732892673,0,7873,12,460678,inf,trans,0.732892673,7873,460678,460678,False
YMR012W,CLU1; TIF31,5.346092685,0.146993631,0,7980,12,570630,inf,trans,0.146993631,7980,563476,576167,False
YMR012W,CLU1; TIF31,5.326169662,0.835411926,0,7686,12,265316,inf,trans,0.835411926,7686,265316,265316,False
YMR244C-A,COA6,30.64325057,0.421506463,1,10191,15,171671,inf,trans,0.421506463,10191,165912,184082,False
YMR244C-A,COA6,8.99801149,0.227533466,0,11696,16,586856,inf,trans,0.227533466,11696,571530,593213,False
YMR244C-A,COA6,8.7386059,0.186021981,0,5579,9,117736,inf,trans,0.186021981,5579,103774,136619,False
YMR244C-A,COA6,6.99765507,0.345947508,0,8405,12,1059495,inf,trans,0.345947508,8405,1059123,1059495,False
YMR244C-A,COA6,6.621877915,-0.170974379,0,8667,13,331334,427182.0,trans,0.170974379,8667,329611,333904,False
YMR244C-A,COA6,4.953114779,0.142687122,0,7157,11,384867,inf,trans,0.142687122,7157,379841,385019,False
YDL145C,COP1,6.521064354,-0.481714867,0,10844,15,860902,inf,trans,0.481714867,10844,860902,860902,False
YDL145C,COP1,6.179616658,0.136625662,1,9477,14,317822,inf,trans,0.136625662,9477,312060,331132,False
YDL145C,COP1,4.728918321,0.116746072,0,11214,16,105267,inf,trans,0.116746072,11214,92791,105336,False
YDL145C,COP1,4.535920531,-0.140222055,0,912,3,4582,inf,trans,0.140222055,912,2644,5784,False
YDL145C,COP1,4.516908303,-0.237782359,0,9350,14,138534,inf,trans,0.237782359,9350,138534,138534,False
YDL145C,COP1,4.414054845,-0.247248915,1,9266,14,7114,inf,trans,0.247248915,9266,7114,7114,False
YDL145C,COP1,4.33604499,0.112992797,0,7647,12,235026,inf,trans,0.112992797,7647,230601,243991,False
YDL145C,COP1,4.32554545,-0.126623568,0,10198,15,181071,inf,trans,0.126623568,10198,168199,185951,False
YDL145C,COP1,4.278125106,-0.317994932,0,8972,13,652533,inf,trans,0.317994932,8972,652533,652533,False
YDR238C,SEC26,6.915488094,0.334752822,0,4647,7,876941,inf,trans,0.334752822,4647,876941,876941,False
YDR238C,SEC26,5.947654047,0.135420202,1,11214,16,105267,inf,trans,0.135420202,11214,92791,105336,False
YDR238C,SEC26,5.272792307,-0.126506043,0,1957,4,643795,294096.0,trans,0.126506043,1957,636237,645245,False
YDR238C,SEC26,5.237217033,0.548032821,0,7873,12,460678,inf,trans,0.548032821,7873,460678,460678,False
YDR238C,SEC26,5.190934486,-0.272640035,1,9266,14,7114,inf,trans,0.272640035,9266,7114,7114,False
YDR238C,SEC26,4.626451458,0.404936829,0,4248,7,433855,inf,trans,0.404936829,4248,433855,433855,False
YDR238C,SEC26,4.517334046,-0.131964427,0,10196,15,180876,inf,trans,0.131964427,10196,168199,185951,False
YGL137W,SEC27,8.37534601,0.706380169,0,7873,12,460678,inf,trans,0.706380169,7873,460678,460678,False
YGL137W,SEC27,6.37097267,-0.251530029,0,1002,3,92556,inf,trans,0.251530029,1002,79867,96560,False
YGL137W,SEC27,6.192240479,0.381197924,0,4207,7,412630,159887.0,trans,0.381197924,4207,412630,412630,False
YIL076W,SEC28,6.358849961,0.731350855,0,7873,12,460678,inf,trans,0.731350855,7873,460678,460678,False
YLR429W,CRN1,11.25141403,0.260178812,0,10191,15,171671,inf,trans,0.260178812,10191,165912,184082,False
YLR038C,COX12,39.58775114,0.374979645,1,10191,15,171671,inf,trans,0.374979645,10191,165912,184082,False
YLR038C,COX12,31.41931934,0.286883692,0,5610,9,138636,inf,trans,0.286883692,5610,125289,144955,False
YLR038C,COX12,22.60699113,0.240729179,1,7973,12,563530,338357.0,trans,0.240729179,7973,563530,563530,False
YLR038C,COX12,19.24405782,-0.301380702,1,8458,13,56990,inf,trans,0.301380702,8458,55098,73225,False
YLR038C,COX12,11.49079163,-0.17410345,1,8667,13,331334,inf,trans,0.17410345,8667,329611,333904,False
YLR038C,COX12,10.29988897,0.15710838,0,8106,12,737804,512631.0,trans,0.15710838,8106,727931,749514,False
YLR038C,COX12,9.988552375,0.422104139,0,7859,12,443030,217857.0,trans,0.422104139,7859,425418,443164,False
YLR038C,COX12,9.115650391,0.158109825,0,641,2,518844,inf,trans,0.158109825,641,505207,530047,False
YLR038C,COX12,8.987525818,-0.20129959,0,1187,3,285659,inf,trans,0.20129959,1187,267625,297295,False
YLR038C,COX12,7.676647982,-0.417244121,1,5089,8,204645,inf,trans,0.417244121,5089,193408,206590,False
YLR038C,COX12,7.658480909,0.292067339,1,10992,15,1014707,inf,trans,0.292067339,10992,1010191,1018776,False
YLR038C,COX12,6.277638117,0.119270886,0,11687,16,578941,inf,trans,0.119270886,11687,571530,591786,False
YLR038C,COX12,6.153040339,-0.117499653,0,8816,13,509524,inf,trans,0.117499653,8816,500062,513217,False
YLR038C,COX12,5.637810183,-0.123278154,0,7190,11,428422,inf,trans,0.123278154,7190,411456,448760,False
YLR038C,COX12,5.32771457,-0.107822097,0,2852,5,35048,inf,trans,0.107822097,2852,30505,41075,False
YLR038C,COX12,5.311967207,0.680593338,0,11045,15,1075194,inf,trans,0.680593338,11045,1075194,1075194,False
YLR038C,COX12,5.277067025,0.110229171,0,8311,12,974822,749649.0,trans,0.110229171,8311,968660,987293,False
YLR038C,COX12,5.230470142,-0.112833122,0,2275,4,957589,inf,trans,0.112833122,2275,956734,961744,False
YLR038C,COX12,4.981640452,0.103552546,1,2483,4,1256509,inf,trans,0.103552546,2483,1248530,1264269,False
YLR038C,COX12,4.790066258,-0.235785109,0,3709,6,99153,inf,trans,0.235785109,3709,99153,99153,False
YLR038C,COX12,4.613426826,-0.276111299,1,7847,12,440640,215467.0,trans,0.276111299,7847,425418,443164,False
YLR038C,COX12,4.231565681,-0.096886048,0,2553,4,1341560,inf,trans,0.096886048,2553,1335020,1354322,False
YLR038C,COX12,3.97453888,0.289331365,0,5078,8,202890,inf,trans,0.289331365,5078,193408,206590,False
YLR038C,COX12,3.734070765,0.132144183,0,1175,3,272925,inf,trans,0.132144183,1175,265059,285299,False
YGL191W,COX13,34.21194122,0.298202712,0,7977,12,569918,inf,trans,0.298202712,7977,563476,576167,False
YGL191W,COX13,33.46283563,0.334732954,1,10191,15,171671,inf,trans,0.334732954,10191,165912,184082,False
YGL191W,COX13,26.10176349,0.265483149,1,5615,9,142542,inf,trans,0.265483149,5615,131829,155581,False
YGL191W,COX13,20.77565943,-0.308884366,1,8458,13,56990,inf,trans,0.308884366,8458,55098,73225,False
YGL191W,COX13,15.36307839,-0.202162483,0,8665,13,329923,inf,trans,0.202162483,8665,329611,333904,False
YGL191W,COX13,15.32890819,0.530461631,1,7859,12,443030,inf,trans,0.530461631,7859,425418,443164,False
YGL191W,COX13,9.681679194,0.405346523,0,11696,16,586856,inf,trans,0.405346523,11696,571530,593213,False
YGL191W,COX13,8.400291275,0.149507577,0,642,2,523217,inf,trans,0.149507577,642,505207,530047,False
YGL191W,COX13,8.31109261,0.14034982,0,4177,7,377882,232679.0,trans,0.14034982,4177,366066,379511,False
YGL191W,COX13,7.72960733,0.12985299,1,10993,15,1015033,inf,trans,0.12985299,10993,1010191,1018776,False
YGL191W,COX13,7.115431255,-0.349871481,1,7847,12,440640,inf,trans,0.349871481,7847,425418,443164,False
YGL191W,COX13,6.86533033,-0.336989708,1,11704,16,587778,inf,trans,0.336989708,11704,571530,593213,False
YGL191W,COX13,6.733890102,-0.121534167,0,7134,11,364620,inf,trans,0.121534167,7134,358366,367086,False
YGL191W,COX13,6.476176275,-0.117558923,0,10833,15,846837,inf,trans,0.117558923,10833,841040,864445,False
YGL191W,COX13,6.263275252,-0.116315625,0,8816,13,509524,inf,trans,0.116315625,8816,500062,513217,False
YGL191W,COX13,5.996636604,-0.116037479,0,4476,7,677969,532766.0,trans,0.116037479,4476,677969,684139,False
YGL191W,COX13,5.774038337,0.110380312,1,5195,8,353097,inf,trans,0.110380312,5195,342706,361900,False
YGL191W,COX13,5.636729495,-0.110533332,0,1937,4,622259,inf,trans,0.110533332,1937,613791,624555,False
YGL191W,COX13,5.374789627,0.105657784,0,6884,11,108870,inf,trans,0.105657784,6884,96863,122192,False
YGL191W,COX13,5.1673127,0.107021037,0,8311,12,974822,inf,trans,0.107021037,8311,968660,987293,False
YGL191W,COX13,4.782141353,0.100214296,1,3220,5,413363,inf,trans,0.100214296,3220,413363,413363,False
YGL191W,COX13,4.444021653,0.097530679,1,8131,12,777907,inf,trans,0.097530679,8131,764143,777907,False
YGL191W,COX13,4.333353275,-0.371618957,1,2797,5,21355,inf,trans,0.371618957,2797,21342,21355,False
YGL191W,COX13,4.060722457,0.21552168,0,5315,8,453634,inf,trans,0.21552168,5315,453634,453634,False
YGL191W,COX13,3.897454767,-0.089098164,0,1187,3,285659,inf,trans,0.089098164,1187,267625,297295,False
YGL191W,COX13,3.843840808,-0.092520998,0,4127,7,336889,191686.0,trans,0.092520998,4127,326640,345530,False
YLL009C,COX17,10.03407572,0.223189184,0,10205,15,185951,inf,trans,0.223189184,10205,179652,188149,False
YLL009C,COX17,8.841170208,0.192464553,0,5610,9,138636,inf,trans,0.192464553,5610,125289,144955,False
Q0250,COX2; OXI1,11.97050012,0.203616974,0,7978,12,569926,inf,trans,0.203616974,7978,563476,576167,False
Q0250,COX2; OXI1,11.54284585,0.226984603,1,10191,15,171671,inf,trans,0.226984603,10191,165912,184082,False
Q0250,COX2; OXI1,8.62114122,0.176135512,0,635,2,510140,inf,trans,0.176135512,635,498324,524731,False
Q0250,COX2; OXI1,8.091875098,-0.211541503,0,10434,15,447362,inf,trans,0.211541503,10434,443566,453019,False
Q0250,COX2; OXI1,7.799973965,0.161002821,0,5614,9,139442,inf,trans,0.161002821,5614,125289,144955,False
Q0250,COX2; OXI1,7.40603911,0.154538626,0,7863,12,449482,inf,trans,0.154538626,7863,448368,501734,False
Q0250,COX2; OXI1,6.122000672,-0.191290568,0,8458,13,56990,inf,trans,0.191290568,8458,55098,73225,False
Q0250,COX2; OXI1,5.322426925,0.310291854,0,8371,12,1019141,inf,trans,0.310291854,8371,1019141,1019141,False
Q0250,COX2; OXI1,4.426148997,-0.115936525,0,1497,4,223356,inf,trans,0.115936525,1497,204037,238194,False
Q0250,COX2; OXI1,4.367090583,-0.749633898,0,24,1,30479,inf,trans,0.749633898,24,30479,30479,False
YDR231C,COX20,36.72757104,0.409613215,1,5323,8,459723,inf,trans,0.409613215,5323,449957,461438,False
YDR231C,COX20,5.567353525,0.149620284,0,5805,9,283213,inf,trans,0.149620284,5805,276483,289513,False
YDR231C,COX20,4.867198465,0.135160343,0,3667,6,66460,inf,trans,0.135160343,3667,62743,74406,False
YDR231C,COX20,4.860422682,0.149297469,1,10193,15,172102,inf,trans,0.149297469,10193,165912,184082,False
YDR231C,COX20,4.76444341,0.134870489,1,1902,4,591983,334306.0,trans,0.134870489,1902,576758,597710,False
YDR231C,COX20,4.742238996,0.134559813,0,11354,16,209279,inf,trans,0.134559813,11354,197237,213411,False
YGL187C,COX4,25.36332968,0.26070008,1,5611,9,138792,inf,trans,0.26070008,5611,122617,144955,False
YGL187C,COX4,20.13036093,0.262575834,1,10191,15,171671,inf,trans,0.262575834,10191,165912,184082,False
YGL187C,COX4,17.51021766,-0.212803197,1,3999,7,154349,4172.0,trans,0.212803197,3999,149219,171892,False
YGL187C,COX4,17.50363552,0.231174823,0,7979,12,570032,inf,trans,0.231174823,7979,563476,576167,False
YGL187C,COX4,14.7561238,-0.334370053,1,8458,13,56990,inf,trans,0.334370053,8458,55098,73225,False
YGL187C,COX4,9.998589582,-0.276356119,0,12042,17,50171,inf,trans,0.276356119,12042,50171,50171,False
YGL187C,COX4,9.417354977,0.150916681,0,7859,12,443030,inf,trans,0.150916681,7859,425418,443164,False
YGL187C,COX4,9.029372128,0.161707482,0,642,2,523217,inf,trans,0.161707482,642,505207,530047,False
YGL187C,COX4,7.672744038,0.163887087,1,9109,13,762630,inf,trans,0.163887087,9109,753081,770563,False
YGL187C,COX4,7.192751729,0.740196995,0,7686,12,265316,inf,trans,0.740196995,7686,265316,265316,False
YGL187C,COX4,6.455896133,0.122614943,0,10993,15,1015033,inf,trans,0.122614943,10993,1010191,1018776,False
YGL187C,COX4,6.126735711,0.120750034,0,8106,12,737804,inf,trans,0.120750034,8106,727931,749514,False
YGL187C,COX4,5.241841704,-0.29313112,0,4825,7,1048545,898368.0,trans,0.29313112,4825,1048545,1048545,False
YGL187C,COX4,5.183742919,-0.107788763,0,4124,7,335709,185532.0,trans,0.107788763,4124,323123,345530,False
YGL187C,COX4,5.096083862,-0.240422095,0,4,1,1470,inf,trans,0.240422095,4,1470,1470,False
YGL187C,COX4,4.914194148,0.104431921,1,6866,11,89277,inf,trans,0.104431921,6866,89277,89277,False
