protein,ORF,gene,isPPI-gene
YDR148C,YDR148C,KGD2,FALSE
YNL071W,YNL071W,LAT1,FALSE
YER178W,YER178W,PDA1,FALSE
YBR221C,YBR221C,PDB1,FALSE
YGR193C,YGR193C,PDX1,FALSE
YBR025C,YBR025C,OLA1,FALSE
YIL136W,YIL136W,OM45,FALSE
YHR001W,YHR001W,OSH7,FALSE
YJL002C,YJL002C,OST1,FALSE
YEL002C,YEL002C,WBP1,FALSE
YJL088W,YJL088W,ARG3,FALSE
YHR179W,YHR179W,OYE2,FALSE
YER023W,YER023W,PRO3,FALSE
YDR071C,YDR071C,PAA1,FALSE
YER165W,YER165W,PAB1,FALSE
YBR279W,YBR279W,PAF1,FALSE
YIR006C,YIR006C,PAN1,FALSE
YIL145C,YIL145C,PAN6,FALSE
YHR063C,YHR063C,PAN5,FALSE
YGR178C,YGR178C,PBP1,FALSE
YDL053C,YDL053C,PBP4,FALSE
YBR088C,YBR088C,POL30,FALSE
YLR044C,YLR044C,PDC1,FALSE
YCL043C,YCL043C,PDI1,FALSE
YNL231C,YNL231C,PDR16,FALSE
YBR035C,YBR035C,PDX3,FALSE
YGR103W,YGR103W,NOP7,FALSE
YKR046C,YKR046C,PLN1,FALSE
YEL003W,YEL003W,GIM4,FALSE
YNL153C,YNL153C,GIM3,FALSE
YML094W,YML094W,GIM5,FALSE
YLR200W,YLR200W,YKE2,FALSE
YGR240C,YGR240C,PFK1,FALSE
YMR205C,YMR205C,PFK2,FALSE
YCR012W,YCR012W,PGK1,FALSE
YMR105C,YMR105C,PGM2,TRUE
YGR132C,YGR132C,PHB1,FALSE
YGR231C,YGR231C,PHB2,FALSE
YPL031C,YPL031C,PHO85,FALSE
YBR106W,YBR106W,SND3,FALSE
YPR160W,YPR160W,GPH1,FALSE
YGR086C,YGR086C,PIL1,FALSE
YPR154W,YPR154W,PIN3,FALSE
YPR113W,YPR113W,PIS1,TRUE
YMR008C,YMR008C,PLB1,FALSE
YMR006C,YMR006C,PLB2,FALSE
YJR073C,YJR073C,OPI3,FALSE
YOR281C,YOR281C,PLP2,FALSE
YBL036C,YBL036C,YBL036C,FALSE
YPR127W,YPR127W,YPR127W,FALSE
YDL052C,YDL052C,SLC1,FALSE
YGL008C,YGL008C,PMA1,FALSE
YKL152C,YKL152C,GPM1,FALSE
YDL021W,YDL021W,GPM2,FALSE
YFL045C,YFL045C,SEC53,FALSE
YDL095W,YDL095W,PMT1,FALSE
YAL023C,YAL023C,PMT2,FALSE
YGL037C,YGL037C,PNC1,FALSE
YOR145C,YOR145C,PNO1,FALSE
YDL236W,YDL236W,PHO13,FALSE
YML069W,YML069W,POB3,FALSE
YKL206C,YKL206C,ADD66,FALSE
YDL047W,YDL047W,SIT4,FALSE
YER133W,YER133W,GLC7,FALSE
YER089C,YER089C,PTC2,FALSE
YBL056W,YBL056W,PTC3,FALSE
YIL083C,YIL083C,CAB2,FALSE
YLR216C,YLR216C,CPR6,FALSE
YGR123C,YGR123C,PPT1,FALSE
YNL044W,YNL044W,YIP3,FALSE
YOR323C,YOR323C,PRO2,FALSE
YDR300C,YDR300C,PRO1,FALSE
YGL120C,YGL120C,PRP43,FALSE
YDL007W,YDL007W,RPT2,FALSE
YOR117W,YOR117W,RPT5,FALSE
YDR394W,YDR394W,RPT3,FALSE
YKL145W,YKL145W,RPT1,FALSE
YGL048C,YGL048C,RPT6,FALSE
YEL060C,YEL060C,PRB1,FALSE
YCL057W,YCL057W,PRD1,FALSE
YBL064C,YBL064C,PRX1,FALSE
YJL079C,YJL079C,PRY1,FALSE
YGL011C,YGL011C,SCL1,FALSE
YML092C,YML092C,PRE8,FALSE
YGR135W,YGR135W,PRE9,FALSE
YOL038W,YOL038W,PRE6,FALSE
YGR253C,YGR253C,PUP2,FALSE
YMR314W,YMR314W,PRE5,FALSE
YOR362C,YOR362C,PRE10,FALSE
YJL001W,YJL001W,PRE3,FALSE
YOR157C,YOR157C,PUP1,FALSE
YER094C,YER094C,PUP3,FALSE
YER012W,YER012W,PRE1,FALSE
YPR103W,YPR103W,PRE2,FALSE
YBL041W,YBL041W,PRE7,FALSE
YFR050C,YFR050C,PRE4,FALSE
YGR232W,YGR232W,NAS6,FALSE
YKL077W,YKL077W,PSG1,FALSE
YDR055W,YDR055W,PST1,FALSE
YDR032C,YDR032C,PST2,FALSE
YJR034W,YJR034W,PET191,FALSE
YJR019C,YJR019C,TES1,FALSE
YBL057C,YBL057C,PTH2,FALSE
YNL016W,YNL016W,PUB1,FALSE
YDR496C,YDR496C,PUF6,FALSE
YMR300C,YMR300C,ADE4,FALSE
YGL234W,YGL234W,ADE57,FALSE
YDR408C,YDR408C,ADE8,FALSE
YGR061C,YGR061C,ADE6,FALSE
YOR128C,YOR128C,ADE2,FALSE
YAR015W,YAR015W,ADE1,FALSE
YLR359W,YLR359W,ADE13,FALSE
YLR028C,YLR028C,ADE16,FALSE
YMR120C,YMR120C,ADE17,TRUE
YNL220W,YNL220W,ADE12,FALSE
YHR037W,YHR037W,PUT2,FALSE
YLR196W,YLR196W,PWP1,FALSE
YGL062W,YGL062W,PYC1,FALSE
YBR218C,YBR218C,PYC2,FALSE
YJL130C,YJL130C,URA2,FALSE
YLR420W,YLR420W,URA4,FALSE
YKL216W,YKL216W,URA1,FALSE
YML106W,YML106W,URA5,FALSE
YBL045C,YBL045C,COR1,FALSE
YPR191W,YPR191W,QCR2,FALSE
YDR529C,YDR529C,QCR7,FALSE
YEL037C,YEL037C,RAD23,FALSE
YOR370C,YOR370C,MRS6,FALSE
YNL216W,YNL216W,RAP1,FALSE
YNL098C,YNL098C,RAS2,FALSE
YAL036C,YAL036C,RBG1,FALSE
YGR173W,YGR173W,RBG2,FALSE
YCR036W,YCR036W,RBK1,FALSE
YGL097W,YGL097W,SRM1,FALSE
YLR248W,YLR248W,RCK2,FALSE
YOR285W,YOR285W,RDL1,FALSE
YAR007C,YAR007C,RFA1,FALSE
YNL312W,YNL312W,RFA2,FALSE
YJL173C,YJL173C,RFA3,FALSE
YJR068W,YJR068W,RFC2,FALSE
YNL290W,YNL290W,RFC3,FALSE
YER067W,YER067W,RGI1,FALSE
YPR165W,YPR165W,RHO1,FALSE
YNL090W,YNL090W,RHO2,FALSE
YIL118W,YIL118W,RHO3,FALSE
YDR487C,YDR487C,RIB3,FALSE
YOL143C,YOL143C,RIB4,FALSE
YCR028C-A,YCR028C-A,RIM1,FALSE
YER070W,YER070W,RNR1,FALSE
YJL026W,YJL026W,RNR2,FALSE
YGR180C,YGR180C,RNR4,FALSE
YLR075W,YLR075W,RPL10,FALSE
YHL001W,YHL001W,RPL14B,FALSE
YLR029C,YLR029C,RPL15A,FALSE
YIL133C,YIL133C,RPL16A,FALSE
YNL069C,YNL069C,RPL16B,FALSE
YLR061W,YLR061W,RPL22A,FALSE
YGL031C,YGL031C,RPL24A,FALSE
YGR148C,YGR148C,RPL24B,FALSE
YOL127W,YOL127W,RPL25,FALSE
YGR034W,YGR034W,RPL26B,FALSE
YGL103W,YGL103W,RPL28,FALSE
YOR063W,YOR063W,RPL3,FALSE
YGL030W,YGL030W,RPL30,FALSE
YBL092W,YBL092W,RPL32,FALSE
YPL143W,YPL143W,RPL33A,FALSE
YOR234C,YOR234C,RPL33B,FALSE
YMR194W,YMR194W,RPL36A,FALSE
YPL249C-A,YPL249C-A,RPL36B,FALSE
YLR185W,YLR185W,RPL37A,FALSE
YDR500C,YDR500C,RPL37B,FALSE
YLR325C,YLR325C,RPL38,FALSE
YPL131W,YPL131W,RPL5,FALSE
YML073C,YML073C,RPL6A,FALSE
YLR448W,YLR448W,RPL6B,FALSE
YGL076C,YGL076C,RPL7A,FALSE
YPL198W,YPL198W,RPL7B,FALSE
YHL033C,YHL033C,RPL8A,FALSE
YLL045C,YLL045C,RPL8B,FALSE
YGL147C,YGL147C,RPL9A,FALSE
YLR340W,YLR340W,RPP0,FALSE
YDL081C,YDL081C,RPP1A,FALSE
YOL039W,YOL039W,RPP2A,FALSE
YDL130W,YDL130W,RPP1B,FALSE
YDR382W,YDR382W,RPP2B,FALSE
YDR091C,YDR091C,RLI1,FALSE
YLR009W,YLR009W,RLP24,FALSE
YNL002C,YNL002C,RLP7,FALSE
YMR024W,YMR024W,MRPL3,FALSE
YKR006C,YKR006C,MRPL13,FALSE
YMR286W,YMR286W,MRPL33,FALSE
YMR235C,YMR235C,RNA1,FALSE
YCL028W,YCL028W,RNQ1,FALSE
YOR341W,YOR341W,RPA190,FALSE
YJR063W,YJR063W,RPA12,FALSE
YPR010C,YPR010C,RPA135,FALSE
YJL148W,YJL148W,RPA34,FALSE
YOR340C,YOR340C,RPA43,FALSE
YNL248C,YNL248C,RPA49,FALSE
YOR224C,YOR224C,RPB8,FALSE
YHR143W-A,YHR143W-A,RPC10,FALSE
YPR110C,YPR110C,RPC40,FALSE
YNL113W,YNL113W,RPC19,FALSE
YDL140C,YDL140C,RPO21,FALSE
YOL005C,YOL005C,RPB11,FALSE
YOR151C,YOR151C,RPB2,FALSE
YJL140W,YJL140W,RPB4,FALSE
YDR404C,YDR404C,RPB7,FALSE
YGL070C,YGL070C,RPB9,FALSE
YJL121C,YJL121C,RPE1,FALSE
YKR081C,YKR081C,RPF2,FALSE
YOR095C,YOR095C,RKI1,FALSE
YHR027C,YHR027C,RPN1,FALSE
YHR200W,YHR200W,RPN10,FALSE
YFR004W,YFR004W,RPN11,FALSE
YFR052W,YFR052W,RPN12,FALSE
YLR421C,YLR421C,RPN13,FALSE
YIL075C,YIL075C,RPN2,FALSE
YER021W,YER021W,RPN3,FALSE
YDL147W,YDL147W,RPN5,FALSE
YDL097C,YDL097C,RPN6,FALSE
YPR108W,YPR108W,RPN7,FALSE
YDR427W,YDR427W,RPN9,FALSE
YMR131C,YMR131C,RRB1,FALSE
YHR065C,YHR065C,RRP3,FALSE
YHR069C,YHR069C,RRP4,FALSE
YGR195W,YGR195W,SKI6,FALSE
YCR035C,YCR035C,RRP43,FALSE
YGR095C,YGR095C,RRP46,FALSE
YMR229C,YMR229C,RRP5,FALSE
YOR369C,YOR369C,RPS12,FALSE
YDR064W,YDR064W,RPS13,FALSE
YJL191W,YJL191W,RPS14B,FALSE
YOL040C,YOL040C,RPS15,FALSE
YGL123W,YGL123W,RPS2,FALSE
YHL015W,YHL015W,RPS20,FALSE
YKR057W,YKR057W,RPS21A,FALSE
YJL136C,YJL136C,RPS21B,FALSE
YGL189C,YGL189C,RPS26A,FALSE
YER131W,YER131W,RPS26B,FALSE
YLR388W,YLR388W,RPS29A,FALSE
YDL061C,YDL061C,RPS29B,FALSE
YNL178W,YNL178W,RPS3,FALSE
YLR167W,YLR167W,RPS31,FALSE
YLR441C,YLR441C,RPS1A,FALSE
YML063W,YML063W,RPS1B,FALSE
YJR123W,YJR123W,RPS5,FALSE
YOR096W,YOR096W,RPS7A,FALSE
YNL096C,YNL096C,RPS7B,FALSE
YMR091C,YMR091C,NPL6,FALSE
YFR037C,YFR037C,RSC8,FALSE
YML127W,YML127W,RSC9,FALSE
YER125W,YER125W,RSP5,FALSE
YGR152C,YGR152C,RSR1,FALSE
YGR214W,YGR214W,RPS0A,FALSE
YLR048W,YLR048W,RPS0B,FALSE
YDR347W,YDR347W,MRP1,FALSE
YNL206C,YNL206C,RTT106,FALSE
YNR037C,YNR037C,RSM19,FALSE
YFR049W,YFR049W,YMR31,FALSE
YGL252C,YGL252C,RTG2,FALSE
YDR233C,YDR233C,RTN1,FALSE
YOR158W,YOR158W,PET123,FALSE
YDR190C,YDR190C,RVB1,FALSE
YPL235W,YPL235W,RVB2,FALSE
YCR009C,YCR009C,RVS161,FALSE
YDR388W,YDR388W,RVS167,FALSE
YKL212W,YKL212W,SAC1,FALSE
YER043C,YER043C,SAH1,FALSE
YPL273W,YPL273W,SAM4,FALSE
YPL218W,YPL218W,SAR1,FALSE
YKL117W,YKL117W,SBA1,FALSE
YJL080C,YJL080C,SCP160,FALSE
YDR086C,YDR086C,SSS1,FALSE
YER019C-A,YER019C-A,SBH2,FALSE
YPR129W,YPR129W,SCD6,FALSE
YGR049W,YGR049W,SCM4,FALSE
YER120W,YER120W,SCS2,FALSE
YMR272C,YMR272C,SCS7,FALSE
YMR305C,YMR305C,SCW10,FALSE
YGR279C,YGR279C,SCW4,FALSE
YDR469W,YDR469W,SDC1,FALSE
YKL141W,YKL141W,SDH3,FALSE
YKL148C,YKL148C,SDH1,FALSE
YLL041C,YLL041C,SDH2,FALSE
YOL071W,YOL071W,SDH5,FALSE
YBR269C,YBR269C,SDH8,FALSE
YLR022C,YLR022C,SDO1,FALSE
YHR087W,YHR087W,RTC3,FALSE
YKL193C,YKL193C,SDS22,FALSE
YBR214W,YBR214W,SDS24,FALSE
YLR208W,YLR208W,SEC13,FALSE
YMR079W,YMR079W,SEC14,FALSE
YBL050W,YBL050W,SEC17,FALSE
YBR080C,YBR080C,SEC18,FALSE
YPR181C,YPR181C,SEC23,FALSE
YIL109C,YIL109C,SEC24,FALSE
YDL195W,YDL195W,SEC31,FALSE
YFL005W,YFL005W,SEC4,FALSE
YOR254C,YOR254C,SEC63,FALSE
YDR170C,YDR170C,SEC7,FALSE
YLR292C,YLR292C,SEC72,FALSE
YGL100W,YGL100W,SEH1,FALSE
YIL074C,YIL074C,SER33,FALSE
YER081W,YER081W,SER3,FALSE
YGR208W,YGR208W,SER2,FALSE
YOR184W,YOR184W,SER1,FALSE
YHR098C,YHR098C,SFB3,FALSE
YJL068C,YJL068C,YJL068C,FALSE
YJL145W,YJL145W,SFH5,FALSE
YOR021C,YOR021C,SFM1,FALSE
YPL047W,YPL047W,SGF11,FALSE
YIR001C,YIR001C,SGN1,TRUE
YOR057W,YOR057W,SGT1,FALSE
YOR007C,YOR007C,SGT2,FALSE
YKR043C,YKR043C,SHB17,FALSE
YGL228W,YGL228W,SHE10,FALSE
YBR130C,YBR130C,SHE3,FALSE
YDL225W,YDL225W,SHS1,FALSE
YOL031C,YOL031C,SIL1,FALSE
YIL123W,YIL123W,SIM1,FALSE
YNL007C,YNL007C,SIS1,FALSE
YDR328C,YDR328C,SKP1,FALSE
YBL007C,YBL007C,SLA1,FALSE
YNL243W,YNL243W,SLA2,FALSE
YDR515W,YDR515W,SLF1,FALSE
YLR147C,YLR147C,SMD3,FALSE
YML058W,YML058W,SML1,FALSE
YDR510W,YDR510W,SMT3,FALSE
YOR327C,YOR327C,SNC2,FALSE
YDR477W,YDR477W,SNF1,FALSE
YLR025W,YLR025W,SNF7,FALSE
YEL026W,YEL026W,SNU13,FALSE
YOR357C,YOR357C,SNX3,FALSE
YJR104C,YJR104C,SOD1,FALSE
YHR008C,YHR008C,SOD2,FALSE
YCR073W-A,YCR073W-A,SOL2,FALSE
YHR163W,YHR163W,SOL3,FALSE
YPR069C,YPR069C,SPE3,FALSE
YGL207W,YGL207W,SPT16,FALSE
YML010W,YML010W,SPT5,FALSE
YGR116W,YGR116W,SPT6,FALSE
YCL037C,YCL037C,SRO9,TRUE
YDL092W,YDL092W,SRP14,FALSE
YPR088C,YPR088C,SRP54,FALSE
YPL210C,YPL210C,SRP72,FALSE
YLR250W,YLR250W,SSP120,FALSE
YDL229W,YDL229W,SSB1,FALSE
YNL209W,YNL209W,SSB2,FALSE
YHL034C,YHL034C,SBP1,FALSE
YDR293C,YDR293C,SSD1,FALSE
YBR283C,YBR283C,SSH1,TRUE
YMR183C,YMR183C,SSO2,FALSE
YHR064C,YHR064C,SSZ1,FALSE
YLR389C,YLR389C,STE23,FALSE
YJR117W,YJR117W,STE24,FALSE
YGR008C,YGR008C,STF2,FALSE
YIL126W,YIL126W,STH1,FALSE
YOR027W,YOR027W,STI1,FALSE
YLR150W,YLR150W,STM1,FALSE
YMR054W,YMR054W,STV1,FALSE
YGL169W,YGL169W,SUA5,FALSE
YMR039C,YMR039C,SUB1,FALSE
YDL084W,YDL084W,SUB2,FALSE
YOR142W,YOR142W,LSC1,FALSE
YGR244C,YGR244C,LSC2,FALSE
YNL244C,YNL244C,SUI1,FALSE
YDR310C,YDR310C,SUM1,FALSE
YKR069W,YKR069W,MET1,FALSE
YDR346C,YDR346C,SVF1,FALSE
YPL032C,YPL032C,SVL3,FALSE
YOR335C,YOR335C,ALA1,FALSE
YNL247W,YNL247W,CRS1,FALSE
YLL018C,YLL018C,DPS1,FALSE
YGL245W,YGL245W,GUS1,FALSE
YFL022C,YFL022C,FRS2,FALSE
YLR060W,YLR060W,FRS1,FALSE
YBR121C,YBR121C,GRS1,FALSE
YPR033C,YPR033C,HTS1,FALSE
YPL105C,YPL105C,SYH1,FALSE
YBL076C,YBL076C,ILS1,FALSE
YDR037W,YDR037W,KRS1,FALSE
YPL160W,YPL160W,CDC60,FALSE
YGR264C,YGR264C,MES1,FALSE
YHR019C,YHR019C,DED81,FALSE
YCR030C,YCR030C,SYP1,FALSE
YOR168W,YOR168W,GLN4,FALSE
YDR341C,YDR341C,YDR341C,FALSE
YDR023W,YDR023W,SES1,FALSE
YIL078W,YIL078W,THS1,FALSE
YGR094W,YGR094W,VAS1,FALSE
YOL097C,YOL097C,WRS1,FALSE
YGR185C,YGR185C,TYS1,FALSE
YKL058W,YKL058W,TOA2,FALSE
YGR005C,YGR005C,TFG2,FALSE
YPL129W,YPL129W,TAF14,FALSE
YLR354C,YLR354C,TAL1,FALSE
YML085C,YML085C,TUB1,FALSE
YML124C,YML124C,TUB3,FALSE
YFL037W,YFL037W,TUB2,FALSE
YOR265W,YOR265W,RBL2,FALSE
YPL128C,YPL128C,TBF1,FALSE
YML072C,YML072C,TCB3,FALSE
YKL027W,YKL027W,TCD2,FALSE
YDR212W,YDR212W,TCP1,FALSE
YIL142W,YIL142W,CCT2,FALSE
YDL143W,YDL143W,CCT4,FALSE
YJR064W,YJR064W,CCT5,FALSE
YJL014W,YJL014W,CCT3,FALSE
YJL111W,YJL111W,CCT7,FALSE
YJL008C,YJL008C,CCT8,FALSE
YDR188W,YDR188W,CCT6,FALSE
YKL056C,YKL056C,TMA19,FALSE
YHR009C,YHR009C,TDA3,FALSE
YPR086W,YPR086W,SUA7,FALSE
YGL043W,YGL043W,DST1,FALSE
YER086W,YER086W,ILV1,FALSE
YOL055C,YOL055C,THI20,FALSE
YOR143C,YOR143C,THI80,FALSE
YPL028W,YPL028W,ERG10,FALSE
YER063W,YER063W,THO1,FALSE
YCR053W,YCR053W,THR4,FALSE
YOR251C,YOR251C,TUM1,FALSE
YHR005C-A,YHR005C-A,TIM10,FALSE
YGR181W,YGR181W,TIM13,FALSE
YIL022W,YIL022W,TIM44,FALSE
YPL063W,YPL063W,TIM50,FALSE
YEL020W-A,YEL020W-A,TIM9,FALSE
YPR074C,YPR074C,TKL1,FALSE
YBR117C,YBR117C,TKL2,FALSE
YDL110C,YDL110C,TMA17,FALSE
YER007C-A,YER007C-A,TMA20,FALSE
YOR091W,YOR091W,TMA46,FALSE
YLR262C-A,YLR262C-A,TMA7,FALSE
YGR082W,YGR082W,TOM20,FALSE
YNL131W,YNL131W,TOM22,FALSE
YMR203W,YMR203W,TOM40,FALSE
YNL121C,YNL121C,TOM70,FALSE
YBR162C,YBR162C,TOS1,FALSE
YER049W,YER049W,TPA1,FALSE
YDR050C,YDR050C,TPI1,FALSE
YNL079C,YNL079C,TPM1,FALSE
YIL138C,YIL138C,TPM2,FALSE
YPR156C,YPR156C,TPO3,FALSE
YBR126C,YBR126C,TPS1,FALSE
YDR074W,YDR074W,TPS2,FALSE
YMR261C,YMR261C,TPS3,FALSE
YNR046W,YNR046W,TRM112,FALSE
YDR001C,YDR001C,NTH1,FALSE
YNL062C,YNL062C,GCD10,FALSE
YDR165W,YDR165W,TRM82,FALSE
YML014W,YML014W,TRM9,FALSE
YGL026C,YGL026C,TRP5,FALSE
YER090W,YER090W,TRP2,FALSE
YKL211C,YKL211C,TRP3,FALSE
YLR043C,YLR043C,TRX1,FALSE
YGR209C,YGR209C,TRX2,FALSE
YCR083W,YCR083W,TRX3,FALSE
YDR353W,YDR353W,TRR1,FALSE
YML028W,YML028W,TSA1,FALSE
YBR265W,YBR265W,TSC10,FALSE
YML100W,YML100W,TSL1,FALSE
YLR435W,YLR435W,TSR2,FALSE
YCR084C,YCR084C,TUP1,FALSE
YGR080W,YGR080W,TWF1,FALSE
YBR291C,YBR291C,CTP1,FALSE
YOR074C,YOR074C,CDC21,FALSE
YKL210W,YKL210W,UBA1,FALSE
YDR177W,YDR177W,UBC1,FALSE
YDR092W,YDR092W,UBC13,FALSE
YMR022W,YMR022W,UBC7,FALSE
YER151C,YER151C,UBP3,FALSE
YFR010W,YFR010W,UBP6,FALSE
YBL058W,YBL058W,SHP1,FALSE
YEL024W,YEL024W,RIP1,FALSE
YGR048W,YGR048W,UFD1,FALSE
YKL035W,YKL035W,UGP1,FALSE
YHR128W,YHR128W,FUR1,FALSE
YBL039C,YBL039C,URA7,FALSE
YJR103W,YJR103W,URA8,FALSE
YNL229C,YNL229C,URE2,FALSE
YKR042W,YKR042W,UTH1,FALSE
YJL109C,YJL109C,UTP10,FALSE
YLR222C,YLR222C,UTP13,FALSE
YMR093W,YMR093W,UTP15,FALSE
YGR128C,YGR128C,UTP8,FALSE
YHR196W,YHR196W,UTP9,FALSE
YLR447C,YLR447C,VMA6,FALSE
YEL013W,YEL013W,VAC8,TRUE
YDL185W,YDL185W,VMA1,FALSE
YBR127C,YBR127C,VMA2,FALSE
YKL080W,YKL080W,VMA5,FALSE
YEL051W,YEL051W,VMA8,FALSE
YOR332W,YOR332W,VMA4,FALSE
YGR020C,YGR020C,VMA7,FALSE
YHR039C-A,YHR039C-A,VMA10,FALSE
YPR036W,YPR036W,VMA13,FALSE
YNL055C,YNL055C,POR1,FALSE
YGR065C,YGR065C,VHT1,FALSE
YNL212W,YNL212W,VID27,FALSE
YOR270C,YOR270C,VPH1,FALSE
YKR001C,YKR001C,VPS1,FALSE
YOR089C,YOR089C,VPS21,FALSE
YHR012W,YHR012W,VPS29,FALSE
YPR173C,YPR173C,VPS4,FALSE
YDR372C,YDR372C,VPS74,FALSE
YJL012C,YJL012C,VTC4,FALSE
YMR197C,YMR197C,VTI1,FALSE
YNL197C,YNL197C,WHI3,FALSE
YOR230W,YOR230W,WTM1,FALSE
YFL010C,YFL010C,WWM1,FALSE
YJR133W,YJR133W,XPT1,FALSE
YGL173C,YGL173C,XRN1,FALSE
YPL239W,YPL239W,YAR1,FALSE
YBR085C-A,YBR085C-A,YBR085C-A,FALSE
YBR053C,YBR053C,YBR053C,FALSE
YLL048C,YLL048C,YBT1,FALSE
YCR075W-A,YCR075W-A,EGO2,FALSE
YDR135C,YDR135C,YCF1,FALSE
YCR004C,YCR004C,YCP4,FALSE
YCR016W,YCR016W,YCR016W,FALSE
YCR043C,YCR043C,YCR043C,FALSE
YCR090C,YCR090C,YCR090C,FALSE
YCR102C,YCR102C,YCR102C,FALSE
YDL144C,YDL144C,YDL144C,FALSE
YKL065C,YKL065C,YET1,FALSE
YDL072C,YDL072C,YET3,FALSE
YER156C,YER156C,MYG1,FALSE
YGR130C,YGR130C,YGR130C,FALSE
YGR266W,YGR266W,YGR266W,FALSE
YGL101W,YGL101W,YGK1,FALSE
YNL160W,YNL160W,YGP1,FALSE
YHR020W,YHR020W,YHR020W,FALSE
YHR029C,YHR029C,YHI9,FALSE
YMR241W,YMR241W,YHM2,FALSE
YHR112C,YHR112C,YHR112C,FALSE
YIL156W-B,YIL156W-B,MCO8,FALSE
YIL108W,YIL108W,YIL108W,FALSE
YIR035C,YIR035C,NRE1,FALSE
YJL133C-A,YJL133C-A,DPI8,FALSE
YJR096W,YJR096W,YJR096W,FALSE
YJL055W,YJL055W,LOG1,FALSE
YJL171C,YJL171C,TOH1,FALSE
YKL033W-A,YKL033W-A,YKL033W-A,FALSE
YKL196C,YKL196C,YKT6,FALSE
YLR179C,YLR179C,YLR179C,FALSE
YLR257W,YLR257W,YLR257W,FALSE
YMR178W,YMR178W,FPY1,FALSE
YMR196W,YMR196W,YMR196W,FALSE
YMR226C,YMR226C,YMR226C,FALSE
YMR315W,YMR315W,YMR315W,FALSE
YPR024W,YPR024W,YME1,FALSE
YML079W,YML079W,YML079W,FALSE
YML131W,YML131W,YML131W,FALSE
YMR090W,YMR090W,YMR090W,FALSE
YMR099C,YMR099C,YMR099C,FALSE
YNR034W-A,YNR034W-A,EGO4,FALSE
YNR021W,YNR021W,YNR021W,FALSE
YNL010W,YNL010W,PYP1,FALSE
YNL134C,YNL134C,YNL134C,FALSE
YNL208W,YNL208W,YNL208W,FALSE
YOL098C,YOL098C,SDD3,FALSE
YOR283W,YOR283W,YOR283W,FALSE
YOL019W,YOL019W,TOS7,FALSE
YPR028W,YPR028W,YOP1,FALSE
YPR010C-A,YPR010C-A,MIN8,FALSE
YPR063C,YPR063C,YPR063C,FALSE
YPR148C,YPR148C,YPR148C,FALSE
YPL199C,YPL199C,YPL199C,FALSE
YPL225W,YPL225W,YPL225W,FALSE
YPL260W,YPL260W,CUB1,FALSE
YDL235C,YDL235C,YPD1,FALSE
YFR003C,YFR003C,YPI1,FALSE
YKL126W,YKL126W,YPK1,FALSE
YDR368W,YDR368W,YPR1,FALSE
YLR120C,YLR120C,YPS1,FALSE
YFL038C,YFL038C,YPT1,FALSE
YER031C,YER031C,YPT31,FALSE
YKR014C,YKR014C,YPT52,FALSE
YLR262C,YLR262C,YPT6,FALSE
YML001W,YML001W,YPT7,FALSE
YDR381W,YDR381W,YRA1,FALSE
YKL214C,YKL214C,YRA2,FALSE
YDR002W,YDR002W,YRB1,FALSE
YOR272W,YOR272W,YTM1,FALSE
YOL109W,YOL109W,ZEO1,FALSE
YGR211W,YGR211W,ZPR1,FALSE
YGL255W,YGL255W,ZRT1,FALSE
YGR285C,YGR285C,ZUO1,FALSE
