SNP,gene,EFFECTSIZE,t-stat,P,FDR,CHR,BP,Effect,SE,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,GENE,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
10606,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176876318674575,-1.22783690086364,0.220321688603027,0.963020464200267,15,642294,-0.177054186923117,0.144393590053073,0.220943964709358,YOR162C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4226,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.178330293025577,-1.22772489224668,0.220363695522607,0.963024641035894,7,418899,-0.178570600755142,0.145579906134333,0.220784587000811,YGL041W-A,DPC13,SGDID:S000028826,ORF,Uncharacterized ORF,"""Putative mitochondrial protein of unknown function; conserved in fungi; identified by expression profiling and mass spectrometry""",Uncharacterized ORF
6960,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.175991017807119,1.22770169881225,0.220372394545164,0.963024641035894,11,171454,0.176368878633427,0.143688031381336,0.220474017410685,YKL146W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
1895,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.18022178214836,1.22753235495386,0.220435916828351,0.963067333571508,4,590025,0.181700386206638,0.147118950526971,0.217630452160861,YDR072C,IPT1,SGDID:S000002479,ORF,Verified ORF,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
7581,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.202803511670504,-1.22738393470159,0.22049160133752,0.963100866040494,12,153157,-0.215219434554693,0.164382500025125,0.191297857364163,SUT246,,,Unstable transcript,SUT,ncRNA_TFO,Unstable transcript
9715,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.314855203437874,-1.22715639365982,0.220576990161312,0.963137934049179,14,598006,-0.168968862288057,0.220515569553829,0.444042864973636,XUT_14F-234,,,Unstable transcript,XUT,ncRNA_TFO,Unstable transcript
9710,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.179037516419652,-1.22683635410066,0.220697130999939,0.963215569550923,14,591302,-0.17898851127236,0.14628005703807,0.221918678920705,YNL023C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3407,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176763365274221,-1.22659176966907,0.220788978219188,0.963240627857238,5,562436,-0.1763222801776,0.144451548731724,0.223039855670402,YER186C,YER186C,SGDID:S000000988,ORF,Uncharacterized ORF,"""Putative protein of unknown function""",Uncharacterized ORF
4156,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.176403796031213,1.22608589513418,0.220979033357032,0.963310805791604,7,362382,0.176978576348561,0.144214166789428,0.220567958328781,YGL077C,HNM1,SGDID:S000003045,ORF,Verified ORF,"""Plasma membrane transporter for choline ; ethanolamine ; and carnitine; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol""",Verified ORF
10128,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.180680777350999,1.22594685127827,0.221031292233855,0.96333031672776,15,129671,0.183582379914067,0.147653644570397,0.214570939145588,YOL100W,PKH2,SGDID:S000005460,ORF,Verified ORF,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh1p; PKH2 has a paralog ; PKH1 ; that arose from the whole genome duplication""",Verified ORF
3003,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.189603368593371,1.22565985656364,0.221139185768364,0.963396066743331,5,169215,0.178511565027952,0.15482453297936,0.249693495025227,YER008C,SEC3,SGDID:S000000810,ORF,Verified ORF,"""Subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to sites of exocytosis prior to SNARE-mediated fusion; PtdIns[4,5]P2-binding protein that localizes to exocytic sites in a Rho1p-dependent ; actin-independent manner ; targeting and anchoring the exocyst to the plasma membrane with Exo70p; direct GTP Rho1p effector; required for ER inheritance; relocalizes away from bud neck upon DNA replication stress""",Verified ORF
38,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176246235176263,-1.22522314832152,0.221303435718623,0.963481450327077,1,51462,-0.176271337451529,0.144189036200099,0.222333578973879,YAL051W,OAF1,SGDID:S000000048,ORF,Verified ORF,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",Verified ORF
10329,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175206934485698,-1.22487822787244,0.221433225489926,0.963551909653263,15,302265,-0.175206934485717,0.143379229214165,0.222529539679166,YOL013C,HRD1,SGDID:S000005373,ORF,Verified ORF,"""Ubiquitin-protein ligase involved in ER-associated degradation (ERAD) of misfolded proteins; upon autoubiquitination triggers retrotranslocation of misfolded proteins to cytosol for degradation; genetically linked to the unfolded protein response (UPR); regulated through association with Hrd3p; contains an H2 ring finger; likely plays a general role in targeting proteins that persistently associate with and potentially obstruct the ER-localized translocon""",Verified ORF
1902,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.17953009269516,1.22483807200754,0.221448339259351,0.963562678753082,4,591983,0.180306644457257,0.146900930243772,0.220489047140838,YDR072C,IPT1,SGDID:S000002479,Close to 3'-UTR,Close to 3'-UTR,"""Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C) ; the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin""",Verified ORF
10605,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176338698394847,-1.2247795950381,0.221470350010402,0.963580683955519,15,642286,-0.176089126255674,0.144315072025977,0.223214407467943,YOR162C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
7309,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.175607221372512,1.22466664778505,0.22151286785152,0.963597782462921,11,562114,0.175607221371854,0.14373162853384,0.222609275042788,YKR063C,LAS1,SGDID:S000001771,ORF,Verified ORF,"""Endonuclease involved in pre-rRNA processing at both ends of ITS2; functions with Grc3p in a conserved mechanism to cleave pre-rRNA at a specific site during rRNA processing and ribosome biogenesis; may coordinate the action of the Rat1p-Rai1p exoRNAse; required for the G1/S cell cycle transition; human ortholog is Las1L; mutants require the SSD1-v allele for viability""",Verified ORF
7308,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.175915129070165,1.22463522820038,0.221524696477785,0.963597782462921,11,559870,0.175937254547762,0.143987244055956,0.222562759779909,YKR062W,TFA2,SGDID:S000001770,ORF,Verified ORF,"""TFIIE small subunit; involved in RNA polymerase II transcription initiation""",Verified ORF
6573,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.181107492995292,1.22408584589395,0.221731597558464,0.963679294179635,10,719662,0.180400185552302,0.148288186434717,0.22458777295377,YJR152W,DAL5,SGDID:S000003913,Close to 3'-UTR,Close to 3'-UTR,"""Allantoate permease; ureidosuccinate permease; also transports dipeptides ; though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression""",Verified ORF
5317,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176704894222776,-1.22348685520855,0.221957339874193,0.963776986416959,8,455783,-0.176668207524689,0.144766775589252,0.223141396767616,YHR176W,FMO1,SGDID:S000001219,Close to 3'-UTR,Close to 3'-UTR,"""Flavin-containing monooxygenase; localized to the cytoplasmic face of the ER membrane; catalyzes oxidation of biological thiols to maintain the ER redox buffer ratio for correct folding of disulfide-bonded proteins""",Verified ORF
2404,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.176929779020954,1.22297689065975,0.222149661052257,0.9638388722973,4,1150593,0.176861639966296,0.145014429216124,0.223425450573128,YDR339C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3425,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.178862345063281,-1.22285225161981,0.222196683964783,0.963846284864225,5,563074,-0.177277050621939,0.14661337124147,0.227415778864736,SUT100,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
8976,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.177083814156185,1.22284985274506,0.222197589065047,0.963846657611571,13,658665,0.178837301186724,0.145138655474113,0.218701039372374,YMR197C,VTI1,SGDID:S000004810,ORF,Verified ORF,"""Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES ; Sed5p and Pep12p; required for multiple vacuolar sorting pathways; human homolog VTI1A can complement yeast null mutant""",Verified ORF
4757,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.175732521539126,1.22246155894948,0.22234412804415,0.963913011001745,7,983018,0.174857459023684,0.144095201511142,0.225755521301109,YGR246C,BRF1,SGDID:S000003478,ORF,Verified ORF,"""TFIIIB B-related factor; one of three subunits of RNA polymerase III transcription initiation factor TFIIIB ; binds TFIIIC and TBP and recruits RNA pol III to promoters ; amino-terminal half is homologous to TFIIB; mutations in human homolog are associated with autosomal recessive cerebellar-facial-dental syndrome""",Verified ORF
4608,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.180690252569185,-1.22243820727767,0.222352942993414,0.963914704064433,7,853535,-0.180333679845105,0.148153628317863,0.224338451388224,YGR178C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4624,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.174858149641375,-1.22242958566322,0.222356197603095,0.963915064684191,7,868494,-0.174858149641366,0.143380435398357,0.223453583624858,YGR186W,TFG1,SGDID:S000003418,ORF,Verified ORF,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
3643,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176434530235038,-1.22228147129501,0.222412115271068,0.963941187041185,6,50414,-0.176240215369474,0.144688083654201,0.224010882725845,YFL041W,FET5,SGDID:S000001853,ORF,Verified ORF,"""Multicopper oxidase; integral membrane protein with similarity to Fet3p; may have a role in iron transport""",Verified ORF
8300,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176231339007494,-1.22203485211225,0.222505243927236,0.963993770996794,12,956170,-0.175764420023865,0.144550614041078,0.224821471865792,YLR417W,VPS36,SGDID:S000004409,ORF,Verified ORF,"""Component of the ESCRT-II complex; contains the GLUE (GRAM Like Ubiquitin binding in EAP45) domain which is involved in interactions with ESCRT-I and ubiquitin-dependent sorting of proteins into the endosome; plays a role in the formation of mutant huntingtin (Htt) aggregates in yeast""",Verified ORF
3463,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175447876033109,-1.22202255755387,0.22250988734789,0.963996605064934,5,563964,-0.175427173825488,0.14391126559263,0.223659882450435,YERComega1,YERComega1,SGDID:S000006903,Other features,LTR,"""Ty5 LTR""",reverse complement
10824,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175549325575956,-1.22201919720142,0.222511156501163,0.963996622692517,15,830933,-0.175681711308961,0.143994993566768,0.223258743729174,YOR270C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
3464,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.174976503482862,-1.22187175190723,0.222566849438154,0.964032180128947,5,563970,-0.174976503483064,0.143542986862017,0.223664478260144,YERComega1,YERComega1,SGDID:S000006903,Other features,LTR,"""Ty5 LTR""",reverse complement
4672,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175384799083538,-1.22158136937068,0.222676561835028,0.964063844377463,7,893214,-0.175353906842627,0.143911518547629,0.223853747480091,YGR197C,SNG1,SGDID:S000003429,ORF,Verified ORF,"""Protein involved in resistance to nitrosoguanidine and 6-azauracil; expression is regulated by transcription factors involved in multidrug resistance; SNG1 has a paralog ; YJR015W ; that arose from the whole genome duplication""",Verified ORF
3556,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175106822744967,-1.2212167768208,0.22281436731788,0.964128470887309,5,565651,-0.174958427347019,0.143727041857143,0.224304564690412,YER187W,YER187W,SGDID:S000000989,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; induced in respiratory-deficient cells""",Uncharacterized ORF
3798,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.182935234110069,-1.22094939745748,0.222915467968973,0.964155358517289,6,227352,-0.182591846528046,0.15015503683077,0.22478903294726,YFR035C,YFR035C,SGDID:S000001931,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; deletion mutant exhibits synthetic phenotype with alpha-synuclein""",Uncharacterized ORF
2100,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176442066465864,-1.22084924799147,0.222953344658639,0.964167817903032,4,811690,-0.176901891178206,0.14486374578511,0.222840213600878,YDR173C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
10689,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.220140588287209,-1.22078673660333,0.222976988910873,0.964177787614826,15,702546,-0.216414928471098,0.180329254364461,0.230901440332844,O:700568-703428,,,Intergenic region,Intergenic region,between YOR192C and YORCdelta18,Intergenic region
1078,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.17575834203319,-1.22058983371686,0.22305147706211,0.964196411226516,3,188904,-0.17575834203364,0.144335802116007,0.224149661908954,YCR033W,SNT1,SGDID:S000000629,ORF,Verified ORF,"""Set3C histone deacetylase scaffold; can act as prion [ESI+] (Expressed Subtelomeric Information) that drives emergence and transgenerational inheritance of activated chromatin state; prion conformer is triggered by transient Snt1p phosphorylation upon cell cycle arrest; [ESI+] reshapes the activity Set3C ; recruiting RNAPII ; interfering with Rap1p binding to activate genes in otherwise repressed subtelomeric domains; relocalizes to cytosol in response to hypoxia""",Verified ORF
8559,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.212136896104491,-1.22045322106888,0.223103167986547,0.964218561962288,13,141610,-0.212029252147688,0.171736928076545,0.217794454577071,YML066C,SMA2,SGDID:S000004531,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific prospore membrane protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation""",Verified ORF
11797,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.177685841317433,1.21992926878729,0.223301498682279,0.964324243141769,16,693803,0.172561089954148,0.145992225503666,0.238005982036429,YPR074C,TKL1,SGDID:S000006278,ORF,Verified ORF,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL1 has a paralog ; TKL2 ; that arose from the whole genome duplication""",Verified ORF
2331,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.176446200229992,1.21937891479742,0.223509959537953,0.964441746798146,4,1017795,0.176146446495637,0.145044954464175,0.225396649200765,YDR278C,YDR278C,SGDID:S000002686,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved among S. cerevisiae strains; YDR278C is not an essential gene""",Uncharacterized ORF
6452,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176263202697279,-1.21928327682931,0.223546199152171,0.964458518247877,10,637667,-0.177025884193816,0.144894787490225,0.222615667781045,YJR112W-A_NFR/NDR,,,Promoter,Promoter,stable,Promoter
6555,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.175634537461433,1.2187862996899,0.223734584150404,0.96454716893024,10,713298,0.175736571730558,0.144444329457664,0.224554515966773,YJR151C,DAN4,SGDID:S000003912,ORF,Verified ORF,"""Cell wall mannoprotein; has similarity to Tir1p ; Tir2p ; Tir3p ; and Tir4p; expressed under anaerobic conditions ; completely repressed during aerobic growth""",Verified ORF
4718,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.178358780422783,1.21868517510263,0.223772930563975,0.964561627923665,7,942359,0.180346084896823,0.146664404984641,0.219646620693958,YGR223C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4165,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.17456204565658,1.21861884738289,0.223798084578674,0.964576517016432,7,370996,0.174562045657045,0.143585242493688,0.224897119043437,YGL073W,HSF1,SGDID:S000003041,ORF,Verified ORF,"""Trimeric heat shock transcription factor; activates multiple genes in response to highly diverse stresses and transient intracellular acidification; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status of cell through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; involved in diauxic shift; posttranslationally regulated; human homolog HSF1 with linker region mutations can complement yeast hsf1 mutant""",Verified ORF
6459,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.174464618805268,1.21859008892463,0.223808991519846,0.964579455668497,10,642379,0.174464618805502,0.143508491167383,0.224908038333229,YJR117W,STE24,SGDID:S000003878,ORF,Verified ORF,"""Highly conserved zinc metalloprotease; component of the ER quality control mechanism that removes faulty proteins clogging translocation channels; inhibits SRP-independent translocation into the ER; has two roles in a-factor maturation ; C-terminal CAAX proteolysis and the first step of N-terminal proteolytic processing; cleaves isoprenylated and non-prenylated oligopeptides; human homolog ZMPSTE24 implicated in mandibuloacral dysplasia (MAD) ; and complements the null mutant""",Verified ORF
5698,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.174799680342997,-1.21818841033011,0.223961372161147,0.964655661708498,9,232692,-0.174783625034839,0.143831306880401,0.225102439680236,YIL069C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
7565,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.199144681991862,-1.21778716377727,0.224113663263041,0.964724851351192,12,136315,-0.175113691039193,0.163543240055351,0.285014045472678,YLL006W-A_NFR/NDR,,,Promoter,Promoter,,Promoter
4635,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.174195435713825,-1.21773879514709,0.224132026352279,0.964735664951579,7,873805,-0.174195435713811,0.143387239722487,0.225231438098545,YGR188C,BUB1,SGDID:S000003420,ORF,Verified ORF,"""Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p ; prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication""",Verified ORF
6915,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.17582326573528,1.21767522144713,0.224156163669883,0.964749530711405,11,122858,0.175118791291238,0.144734912864634,0.227116213904299,YKL173W,SNU114,SGDID:S000001656,ORF,Verified ORF,"""GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2""",Verified ORF
2069,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.177127743557302,-1.21724382729315,0.224320002358822,0.964814112042835,4,760734,-0.176848725891547,0.145860999957851,0.226152157920688,YDR150W,NUM1,SGDID:S000002557,ORF,Verified ORF,"""Protein required for nuclear migration; component of the mitochondria-ER-cortex-anchor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex""",Verified ORF
3915,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.176604781457263,-1.21720350732192,0.224335319825561,0.964814112042835,7,50874,-0.17651852315754,0.145434677973289,0.225662045069071,YGL238W,CSE1,SGDID:S000003207,ORF,Verified ORF,"""Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm ; thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L ; overexpression of which is implicated in cancer progression""",Verified ORF
4157,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.174661547623635,1.21702761894958,0.224402148205089,0.964845028628738,7,362516,0.174454999169881,0.143855249811644,0.226050870922365,YGL077C,HNM1,SGDID:S000003045,ORF,Verified ORF,"""Plasma membrane transporter for choline ; ethanolamine ; and carnitine; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol""",Verified ORF
7620,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.177382587447773,1.21654424159168,0.224585879902201,0.964920175572505,12,209969,0.176011753153055,0.146132187792707,0.22921513283777,YLR033W,RSC58,SGDID:S000004023,ORF,Verified ORF,"""Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation ; chromosome stability ; and establishing sister chromatid cohesion; involved in telomere maintenance""",Verified ORF
328,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.183551453435673,1.21633879302392,0.224664003571196,0.964964262414534,2,153228,0.180756050139438,0.151151871250772,0.232554967160102,YBL035C,POL12,SGDID:S000000131,ORF,Verified ORF,"""B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation""",Verified ORF
4623,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.173943434335333,-1.21596979981565,0.224804365523983,0.965007059598421,7,868485,-0.173943434335335,0.143388106362854,0.225904531754953,YGR186W,TFG1,SGDID:S000003418,ORF,Verified ORF,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
9680,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.777260423560805,-1.21577428777024,0.224878762178611,0.965058438326462,14,572015,-0.709097060074085,0.411480154060795,0.0857128988364179,YNL034W,YNL034W,SGDID:S000004979,ORF,Uncharacterized ORF,"""Putative protein of unknown function; not an essential gene; YNL034W has a paralog ; YNL018C ; that arose from a segmental duplication""",Uncharacterized ORF
6828,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.178874191258974,-1.21570654524575,0.224904543826512,0.965068770957884,11,53308,-0.178774483381899,0.147478214723144,0.22624292965709,YKL205W,LOS1,SGDID:S000001688,ORF,Verified ORF,"""Nuclear pore protein; involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm; deletion mutation extends replicative lifespan ; as does exclusion of Los1p from the nucleus in response to caloric restriction""",Verified ORF
1419,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175105953773121,-1.21569201853042,0.224910072722389,0.965069893036249,4,168256,-0.173789604721273,0.144380599478076,0.229515654772356,YDL161W,ENT1,SGDID:S000002320,ORF,Verified ORF,"""Epsin-like protein involved in endocytosis and actin patch assembly; functionally redundant with Ent2p; binds clathrin via a clathrin-binding domain motif at C-terminus; relocalizes from bud neck to cytoplasm upon DNA replication stress; ENT1 has a paralog ; ENT2 ; that arose from the whole genome duplication""",Verified ORF
819,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175680785097396,-1.21566175503048,0.224921591382022,0.965076399562096,2,744466,-0.177407610728598,0.144844518672052,0.221461954644118,YBR270C,BIT2,SGDID:S000000474,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of TORC2 membrane-associated complex; involved in regulation of actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p ; homologous PH domain-containing TORC2 substrates; BIT2 has a paralog ; BIT61 ; that arose from the whole genome duplication""",Verified ORF
3016,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.184541883357794,1.21534962543541,0.225040416430647,0.965134116822923,5,178674,0.182262622576466,0.152112554974434,0.231639531996665,YER013W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
4756,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.176138779415859,1.21531765000848,0.225052591742643,0.965138338756262,7,982687,0.177314103744986,0.145262464410663,0.223034664113877,YGR246C,BRF1,SGDID:S000003478,ORF,Verified ORF,"""TFIIIB B-related factor; one of three subunits of RNA polymerase III transcription initiation factor TFIIIB ; binds TFIIIC and TBP and recruits RNA pol III to promoters ; amino-terminal half is homologous to TFIIB; mutations in human homolog are associated with autosomal recessive cerebellar-facial-dental syndrome""",Verified ORF
4606,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.192585416942471,-1.21529883615956,0.225059755729578,0.965143337233072,7,850794,-0.192558633760791,0.158787773799067,0.22606342271529,YGR177C,ATF2,SGDID:S000003409,Close to 3'-UTR,Close to 3'-UTR,"""Alcohol acetyltransferase; may play a role in steroid detoxification; forms volatile esters during fermentation ; which is important for brewing and winemaking""",Verified ORF
3469,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.174871595872368,-1.21523512601301,0.225084016661855,0.965152391976234,5,564097,-0.174698680296786,0.144240439125604,0.226643151193984,SUT100,,,Unstable transcript,SUT,ncRNA_UNB,Unstable transcript
11407,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.175145398830308,-1.2150284012395,0.22516275072655,0.965172207695875,16,263635,-0.175350136232457,0.144486102802166,0.225707126659787,YPL153C,RAD53,SGDID:S000006074,ORF,Verified ORF,"""DNA damage response kinase; signal transduction pathway component required for DNA damage and replication checkpoints ; promoting cell cycle arrest and DNA repair; role in initiation of DNA replication; inhibits gene gating through NPC protein phosphorylation ; to promote fork stability; activates downstream kinase Dun1p; senses mtDNA depletion and mitochondrial ROS; relocalizes to cytosol under hypoxia; contains two FHA domains; human homolog CHEK2 implicated in breast cancer complements the null""",Verified ORF
3755,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.174439085981416,-1.21465649399308,0.225304446614279,0.965229095626375,6,175273,-0.17420258725014,0.143952047138967,0.227033669344506,YFR015C,GSY1,SGDID:S000001911,ORF,Verified ORF,"""Glycogen synthase; expression induced by glucose limitation ; nitrogen starvation ; environmental stress ; and entry into stationary phase; GSY1 has a paralog ; GSY2 ; that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress""",Verified ORF
