SNP,pQTL_protein,pQTL_protein_name,eQTL_gene_id,eQTL_gene,Chromosome,pQTL_peak,pQTL_left,pQTL_right,eQTL_peak,eQTL_left,eQTL_right,pQTL_effect,eQTL_LOD,pQTL_gene_dist,pQTL_cis,eQTL_gene_dist,eQTL_cis,peak_distance,is_eQTL_peak_in_pQTL,is_pQTL_peak_in_eQTL
8667,YLR300W,EXG1,YLR300W,EXG1,Chr13,331334,329611,333904,331334,328866,336381,0.118985852,12.46833191,inf,False,,False,0,True,True
8664,YLR359W,ADE13,YLR359W,ADE13,Chr13,329611,329611,333904,333449,327769,336381,0.115503983,7.510024136,inf,False,,False,3838,True,True
8665,YML120C,NDI1,YML120C,NDI1,Chr13,329923,329611,333904,333449,327769,336381,0.144483123,10.6543039,300116.0,False,296961.0,False,3526,True,True
8503,YML094W,GIM5; PFD5,YML094W,GIM5,Chr13,82403,75558,92384,87110,80821,115959,0.207345749,2.942371918,0.0,True,0.0,True,4707,True,True
8556,YML070W,DAK1,YML070W,DAK1,Chr13,133462,117501,138830,133555,131106,134620,0.225928183,54.19149992,13.0,True,0.0,True,93,True,True
8575,YML056C,IMD4,YML056C,IMD4,Chr13,163509,151409,164705,160953,159728,163519,0.137528351,23.77982997,0.0,True,0.0,True,2556,True,True
8625,YML004C,GLO1,YML004C,GLO1,Chr13,262788,247407,283371,262071,250460,270321,0.235507312,78.80789795,103.0,True,0.0,True,717,True,True
8978,YMR197C,VTI1,YMR197C,VTI1,Chr13,659245,646103,665729,659142,643985,663000,0.208787572,19.35231838,48.0,True,0.0,True,103,True,True
9109,YMR246W,FAA4,YMR246W,FAA4,Chr13,762630,753081,770563,759679,327769,779242,0.136452825,5.238146412,740.0,True,0.0,True,2951,True,True
9226,YMR307W,GAS1; GGP1,YMR307W,GAS1,Chr13,888990,877043,902431,885848,883144,895661,0.309110749,43.15778007,309.0,True,0.0,True,3142,True,True
8667,YNR001C,CIT1,YNR001C,CIT1,Chr13,331334,329611,333904,333449,327769,339643,0.13818574,6.411196908,inf,False,,False,2115,True,True
8686,YOL140W,ARG8,YOL140W,ARG8,Chr13,350249,345749,365504,355100,341020,389982,0.190199484,6.378951165,inf,False,,False,4851,True,True
8667,YOL109W,ZEO1,YOL109W,ZEO1,Chr13,331334,329611,333904,329923,327769,339643,0.242265886,18.27481252,inf,False,,False,1411,True,True
8670,YOR142W,LSC1,YOR142W,LSC1,Chr13,333904,329611,338431,334830,327769,343663,0.181741215,8.663540618,inf,False,,False,926,True,True
8670,YOR187W,TUF1; TUFM,YOR187W,TUF1,Chr13,333904,329611,338431,333449,328866,339643,0.206453453,15.52359944,inf,False,,False,455,True,True
8664,YPL262W,FUM1,YPL262W,FUM1,Chr13,329611,329611,333904,333449,327769,336381,0.152850922,7.005792849,inf,False,,False,3838,True,True
8664,YPL078C,ATP4,YPL078C,ATP4,Chr13,329611,329611,333904,331334,79575,349796,0.200828673,9.704567117,inf,False,,False,1723,True,True
8664,YPR191W,QCR2,YPR191W,QCR2,Chr13,329611,329611,333904,333449,329249,341722,0.170349289,14.2781585,inf,False,,False,3838,True,True
8665,YGL191W,COX13,YGL191W,COX13,Chr13,329923,329611,333904,333449,327769,349796,0.202162483,7.224718768,inf,False,,False,3526,True,True
8667,YKL148C,SDH1; SDHA,YKL148C,SDH1,Chr13,331334,329611,333904,333449,301985,339643,0.149735373,3.898583393,inf,False,,False,2115,True,True
8667,YKL085W,MDH1,YKL085W,MDH1,Chr13,331334,329611,333904,333449,327769,369610,0.195972782,5.583716777,inf,False,,False,2115,True,True
8815,YMR120C,ADE17,YMR120C,ADE17,Chr13,509480,500062,513217,510091,452639,541095,0.648153314,3.328389952,201.0,True,0.0,True,611,True,True
8819,YMR120C,ADE17,YMR120C,ADE17,Chr13,510968,505070,513217,510091,452639,541095,0.197582379,3.328389952,1689.0,False,0.0,True,877,True,True
8664,YNL055C,POR1,YNL055C,POR1,Chr13,329611,329611,333904,333449,95343,349796,0.137452289,3.604307987,inf,False,,False,3838,True,True
9454,YJL200C,ACO2,YJL200C,ACO2,Chr14,275245,267696,288822,288822,220551,771372,0.106117603,2.638728848,inf,False,,False,13577,True,True
9454,YJR016C,ILV3,YJR016C,ILV3,Chr14,275245,267696,288822,281793,255754,771372,0.102594988,4.029694312,inf,False,,False,6548,True,True
9663,YNL036W,NCE103; NCE3,YNL036W,NCE103,Chr14,560773,547829,592657,568368,554932,614336,0.191191484,5.712543171,293.0,True,0.0,True,7595,True,True
9503,YPR184W,GDB1,YPR184W,GDB1,Chr14,340237,330041,351040,333748,300017,377351,0.146381297,8.612416309,inf,False,,False,6489,True,True
10191,YAL038W,CDC19; PYK1,YAL038W,CDC19,Chr15,171671,165912,184082,181433,137942,186481,0.203752142,6.251738215,inf,False,,False,9762,True,True
10191,YBL099W,ATP1,YBL099W,ATP1,Chr15,171671,165912,184082,170921,152922,172102,0.424118386,18.15904455,inf,False,,False,750,True,True
10179,YBR015C,MNN2,YBR015C,MNN2,Chr15,165912,165912,179652,170921,159655,189231,0.200683802,6.580982527,inf,False,,False,5009,True,True
10198,YBR017C,KAP104,YBR017C,KAP104,Chr15,181071,168199,185951,171511,142608,1043118,0.232548535,3.795332152,inf,False,,False,9560,True,True
10191,YBR026C,ETR1,YBR026C,ETR1,Chr15,171671,165912,184082,171511,146203,172825,0.294203431,16.19803056,inf,False,,False,160,True,True
10191,YBR072W,HSP26,YBR072W,HSP26,Chr15,171671,165912,184082,171745,152424,185252,0.237269648,8.020962284,inf,False,,False,74,True,True
10192,YBR088C,POL30,YBR088C,POL30,Chr15,172074,165912,184082,167627,144117,189231,0.258560738,3.686807721,inf,False,,False,4447,True,True
10197,YBR106W,PHO88; SND3,YBR106W,SND3,Chr15,180978,168199,185951,169704,139908,185473,0.229723038,7.89630371,inf,False,,False,11274,True,True
10197,YBR283C,SSH1,YBR283C,SSH1,Chr15,180978,168199,185951,171150,157219,1011045,0.195957738,2.855921164,inf,False,,False,9828,True,True
10192,YCR004C,YCP4,YCR004C,YCP4,Chr15,172074,165912,184082,171150,158905,172102,0.433484429,26.22781785,inf,False,,False,924,True,True
10186,YCR030C,SYP1,YCR030C,SYP1,Chr15,170347,165912,184082,170921,108950,574955,0.354145349,4.797674367,inf,False,,False,574,True,True
10191,YCR084C,,YCR084C,TUP1,Chr15,171671,165912,184082,169704,135779,932327,0.345466664,3.065287073,inf,False,,False,1967,True,True
10157,YCR102C,YCR102C,YCR102C,YCR102C,Chr15,144887,143047,151907,147274,142835,151997,0.142139975,46.00227326,inf,False,,False,2387,True,True
10191,YDL195W,SEC31; WEB1,YDL195W,SEC31,Chr15,171671,165912,184082,170921,106762,552069,0.380027078,3.676863103,inf,False,,False,750,True,True
10193,YDL185W,VMA1,YDL185W,VMA1,Chr15,172102,165912,184082,170921,94056,1043118,0.350951659,3.08091237,inf,False,,False,1181,True,True
10198,YDL046W,NPC2,YDL046W,NPC2,Chr15,181071,168199,185951,171150,147274,185473,0.192518034,10.58486375,inf,False,,False,9921,True,True
10181,YDR050C,TPI1,YDR050C,TPI1,Chr15,168199,165912,181071,171150,139013,185793,0.182892898,10.49936994,inf,False,,False,2951,True,True
10193,YDR231C,COX20,YDR231C,COX20,Chr15,172102,165912,184082,181433,108354,185793,0.149297469,7.331068239,inf,False,,False,9331,True,True
10194,YDR378C,LSM6,YDR378C,LSM6,Chr15,173340,165912,184082,169704,156746,189700,0.223404363,3.411727568,inf,False,,False,3636,True,True
10192,YEL058W,PCM1; AGM1,YEL058W,PCM1,Chr15,172074,165912,184082,167794,159369,173829,0.183047329,19.51326695,inf,False,,False,4280,True,True
10186,YER120W,SCS2,YER120W,SCS2,Chr15,170347,165912,184082,169704,144117,189231,0.181140993,4.488114295,inf,False,,False,643,True,True
10191,YER178W,PDA1,YER178W,PDA1,Chr15,171671,165912,184082,171150,152141,185473,0.267012602,8.081707935,inf,False,,False,521,True,True
10202,YFL017C,GNA1; PAT1,YFL017C,GNA1,Chr15,184082,170347,185951,185793,109765,193911,0.188584846,4.808668768,inf,False,,False,1711,True,True
10191,YFL014W,HSP12,YFL014W,HSP12,Chr15,171671,165912,184082,171511,167794,172102,0.299661875,105.5113736,inf,False,,False,160,True,True
10197,YFR030W,MET10,YFR030W,MET10,Chr15,180978,168199,185951,171150,163510,186481,0.187983131,14.29365306,inf,False,,False,9828,True,True
10191,YFR044C,DUG1,YFR044C,DUG1,Chr15,171671,165912,184082,171150,93859,189231,0.254206502,6.652654699,inf,False,,False,521,True,True
10191,YGR086C,PIL1,YGR086C,PIL1,Chr15,171671,165912,184082,170921,169333,171671,0.330867308,40.17186939,inf,False,,False,750,True,True
10193,YGR130C,YGR130C,YGR130C,YGR130C,Chr15,172102,165912,184082,170921,139908,185252,0.429034616,8.219581538,inf,False,,False,1181,True,True
10192,YGR234W,YHB1; YHB,YGR234W,YHB1,Chr15,172074,165912,184082,169704,137942,185793,0.120961358,13.5004798,inf,False,,False,2370,True,True
10191,YGR253C,PUP2; DOA5,YGR253C,PUP2,Chr15,171671,165912,184082,171150,152922,735877,0.196510868,4.151202362,inf,False,,False,521,True,True
10191,YGR256W,GND2,YGR256W,GND2,Chr15,171671,165912,184082,171511,169333,172102,0.38117818,56.95631847,inf,False,,False,160,True,True
10198,YGR279C,SCW4,YGR279C,SCW4,Chr15,181071,168199,185951,169704,160403,189231,0.299952822,7.844880165,inf,False,,False,11367,True,True
10197,YGR284C,ERV29,YGR284C,ERV29,Chr15,180978,168199,185951,169704,142835,186481,0.171957666,4.856451515,inf,False,,False,11274,True,True
10191,YIL155C,GUT2,YIL155C,GUT2,Chr15,171671,165912,184082,170921,159655,171671,0.414335569,21.20823993,inf,False,,False,750,True,True
10191,YIL136W,OM45,YIL136W,OM45,Chr15,171671,165912,184082,171150,157219,174465,0.316621468,41.32184498,inf,False,,False,521,True,True
10198,YIL116W,HIS5,YIL116W,HIS5,Chr15,181071,168199,185951,174019,160980,186481,0.367151527,8.669627784,inf,False,,False,7052,True,True
10194,YIR036C,IRC24,YIR036C,IRC24,Chr15,173340,165912,184082,171150,98981,185473,0.231219406,6.672273166,inf,False,,False,2190,True,True
10192,YJL158C,,YJL158C,CIS3,Chr15,172074,165912,184082,171150,165456,174465,0.157664204,25.94102994,inf,False,,False,924,True,True
10196,YJL130C,URA2,YJL130C,URA2,Chr15,180876,168199,185951,169704,154799,189231,0.16591775,3.483906961,inf,False,,False,11172,True,True
10191,YJL079C,PRY1,YJL079C,PRY1,Chr15,171671,165912,184082,170921,165707,182946,0.422740448,16.14066969,inf,False,,False,750,True,True
10193,YJR009C,TDH2; GPD2,YJR009C,TDH2,Chr15,172102,165912,184082,181433,163510,185793,0.207164978,21.33107115,inf,False,,False,9331,True,True
10191,YJR121W,ATP2,YJR121W,ATP2,Chr15,171671,165912,184082,170921,154799,172102,0.447713641,16.77108585,inf,False,,False,750,True,True
10191,YKL192C,ACP1,YKL192C,ACP1,Chr15,171671,165912,184082,170921,139908,185793,0.218460016,7.146326446,inf,False,,False,750,True,True
10194,YKL152C,GPM1; GPM,YKL152C,GPM1,Chr15,173340,165912,184082,171150,163510,185793,0.17084543,23.21074529,inf,False,,False,2190,True,True
10191,YKL150W,MCR1,YKL150W,MCR1,Chr15,171671,165912,184082,171511,139908,185252,0.342973305,22.3595839,inf,False,,False,160,True,True
10191,YKL148C,SDH1; SDHA,YKL148C,SDH1,Chr15,171671,165912,184082,171150,139908,180441,0.317917059,9.926516765,inf,False,,False,521,True,True
10194,YKL110C,KTI12,YKL110C,KTI12,Chr15,173340,165912,184082,171511,154799,174364,0.219519772,19.63453934,inf,False,,False,1829,True,True
10191,YKL085W,MDH1,YKL085W,MDH1,Chr15,171671,165912,184082,171150,139908,182946,0.506702657,10.07788535,inf,False,,False,521,True,True
10186,YKR046C,PET10,YKR046C,PLN1,Chr15,170347,165912,184082,170921,150111,185252,0.305225152,10.00895807,inf,False,,False,574,True,True
10187,YKR066C,CCP1,YKR066C,CCP1,Chr15,170413,165912,184082,171511,108354,185473,0.139555178,9.589004288,inf,False,,False,1098,True,True
10198,YKR080W,MTD1,YKR080W,MTD1,Chr15,181071,168199,185951,173814,137304,185793,0.278045245,11.84420087,inf,False,,False,7257,True,True
10191,YLL041C,SDH2,YLL041C,SDH2,Chr15,171671,165912,184082,165998,140220,180441,0.294076753,18.25940265,inf,False,,False,5673,True,True
10189,YLR027C,AAT2; ASP5,YLR027C,AAT2,Chr15,170944,165912,184082,180534,111851,745301,0.137904483,3.8796045,inf,False,,False,9590,True,True
10197,YLR100W,ERG27,YLR100W,ERG27,Chr15,180978,168199,185951,173814,138662,186481,0.157786529,8.391556976,inf,False,,False,7164,True,True
10193,YLR248W,RCK2,YLR248W,RCK2,Chr15,172102,165912,184082,171150,139908,185252,0.171133592,9.347643025,inf,False,,False,952,True,True
10194,YLR292C,SEC72,YLR292C,SEC72,Chr15,173340,165912,184082,169704,154799,185252,0.198160061,5.597644042,inf,False,,False,3636,True,True
10191,YLR300W,EXG1,YLR300W,EXG1,Chr15,171671,165912,184082,174019,157219,189231,0.423307216,5.195045296,inf,False,,False,2348,True,True
10197,YLR342W,,YLR342W,FKS1,Chr15,180978,168199,185951,169704,152922,185793,0.192638926,10.4163908,inf,False,,False,11274,True,True
10191,YLR351C,NIT3,YLR351C,NIT3,Chr15,171671,165912,184082,169704,160403,186481,0.199067383,6.308871672,inf,False,,False,1967,True,True
10618,YLR354C,TAL1,YLR354C,TAL1,Chr15,656377,649242,660805,655136,621972,656567,0.229840167,11.08845505,inf,False,,False,1241,True,True
10180,YLR370C,ARC18,YLR370C,ARC18,Chr15,166369,165912,179652,172956,152424,189231,0.172841995,5.958050668,inf,False,,False,6587,True,True
10195,YLR420W,URA4,YLR420W,URA4,Chr15,179652,165912,185951,165998,139908,186481,0.304896541,6.955836708,inf,False,,False,13654,True,True
10192,YML131W,YML131W; YM4987.04,YML131W,YML131W,Chr15,172074,165912,184082,172956,161853,186481,0.153730297,21.46036691,inf,False,,False,882,True,True
10197,YML130C,ERO1,YML130C,ERO1,Chr15,180978,168199,185951,169704,113253,189231,0.178430525,2.903343468,inf,False,,False,11274,True,True
10191,YML128C,MSC1,YML128C,MSC1,Chr15,171671,165912,184082,171511,160403,172102,0.388586529,54.17839728,inf,False,,False,160,True,True
10191,YMR031C,EIS1,YMR031C,EIS1,Chr15,171671,165912,184082,171150,139908,182946,0.293544229,15.7574491,inf,False,,False,521,True,True
10180,YMR031C,EIS1,YMR031C,EIS1,Chr15,166369,165912,179652,171150,139908,182946,0.196845724,15.7574491,inf,False,,False,4781,True,True
10191,YMR090W,YMR090W; YM9582.15,YMR090W,YMR090W,Chr15,171671,165912,184082,171511,152424,174465,0.437582523,37.29601291,inf,False,,False,160,True,True
10191,YMR105C,PGM2,YMR105C,PGM2,Chr15,171671,165912,184082,171150,125569,548689,0.326199295,5.92132681,inf,False,,False,521,True,True
10190,YMR196W,YMR196W; YM9646.09,YMR196W,YMR196W,Chr15,171150,165912,184082,171150,139908,172102,0.314148593,20.94002714,inf,False,,False,0,True,True
10180,YMR196W,YMR196W; YM9646.09,YMR196W,YMR196W,Chr15,166369,165912,179652,171150,139908,172102,0.191015013,20.94002714,inf,False,,False,4781,True,True
10191,YMR250W,GAD1,YMR250W,GAD1,Chr15,171671,165912,184082,170921,157219,172102,0.240370702,37.3452363,inf,False,,False,750,True,True
10191,YMR297W,PRC1,YMR297W,PRC1,Chr15,171671,165912,184082,170921,152407,174364,0.299843565,11.8702095,inf,False,,False,750,True,True
10191,YMR307W,GAS1; GGP1,YMR307W,GAS1,Chr15,171671,165912,184082,169704,160403,189231,0.228195717,7.022547141,inf,False,,False,1967,True,True
10190,YNL281W,HCH1,YNL281W,HCH1,Chr15,171150,165912,184082,170921,160980,174364,0.277815902,17.39420184,inf,False,,False,229,True,True
10191,YNL216W,RAP1,YNL216W,RAP1,Chr15,171671,165912,184082,167627,159369,189231,0.188600534,3.372584317,inf,False,,False,4044,True,True
10191,YNL160W,YGP1,YNL160W,YGP1,Chr15,171671,165912,184082,170921,152424,172102,0.376073597,24.80323392,inf,False,,False,750,True,True
10192,YNL071W,LAT1,YNL071W,LAT1,Chr15,172074,165912,184082,171511,94056,189700,0.289876457,5.049206978,inf,False,,False,563,True,True
10197,YNL044W,YIP3; PRA1,YNL044W,YIP3,Chr15,180978,168199,185951,169704,142608,181326,0.147991536,6.048847592,inf,False,,False,11274,True,True
10198,YNR034W-A,YNR034W-A,YNR034W-A,EGO4,Chr15,181071,168199,185951,171511,150111,185252,0.180166181,15.29449728,inf,False,,False,9560,True,True
10191,YOL077W-A,ATP19,YOL077W-A,ATP19,Chr15,171671,165912,184082,181433,149214,185252,0.318169696,27.82749493,13767.0,False,649.0,True,9762,True,True
10382,YOR021C,SFM1,YOR021C,SFM1,Chr15,372714,363969,382511,373586,364854,385782,0.254991843,7.874207436,84.0,True,0.0,True,872,True,True
10191,YOR065W,CYT1; CTC1,YOR065W,CYT1,Chr15,171671,165912,184082,170921,152424,182946,0.325408485,20.24892814,275770.0,False,265005.0,False,750,True,True
10189,YOR120W,GCY1; GCY,YOR120W,GCY1,Chr15,170944,165912,184082,171511,158905,172102,0.284272074,26.72719764,380171.0,False,378368.0,False,567,True,True
10727,YOR222W,ODC2,YOR222W,ODC2,Chr15,757952,748030,766858,757677,757677,758119,0.564653091,118.1907154,379.0,True,0.0,True,275,True,True
10192,YOR230W,WTM1,YOR230W,WTM1,Chr15,172074,165912,184082,170921,110946,185473,0.338384898,9.750756404,598727.0,False,584326.0,False,1153,True,True
10838,YOR285W,RDL1,YOR285W,RDL1,Chr15,849538,841040,867290,850123,849407,850266,0.516981778,177.7099726,96.0,True,0.0,True,585,True,True
10194,YOR332W,VMA4; VAT5,YOR332W,VMA4,Chr15,173340,165912,184082,172956,137304,186481,0.178894303,5.287172816,770313.0,False,756174.0,False,384,True,True
10191,YOR374W,ALD4,YOR374W,ALD4,Chr15,171671,165912,184082,171150,160403,172102,0.342071885,27.84413439,868167.0,False,867094.0,False,521,True,True
10193,YOR374W,ALD4,YOR374W,ALD4,Chr15,172102,165912,184082,171150,160403,172102,0.189991793,27.84413439,867736.0,False,867094.0,False,952,True,True
10192,YPL154C,PEP4,YPL154C,PEP4,Chr15,172074,165912,184082,170921,157219,174465,0.314418855,13.30020187,inf,False,,False,1153,True,True
10198,YPL028W,ERG10,YPL028W,ERG10,Chr15,181071,168199,185951,174019,143727,186481,0.141443008,9.590475418,inf,False,,False,7052,True,True
10191,YPL004C,LSP1,YPL004C,LSP1,Chr15,171671,165912,184082,171150,169333,172102,0.350816233,34.91419326,inf,False,,False,521,True,True
10190,YPR004C,AIM45,YPR004C,AIM45,Chr15,171150,165912,184082,181433,143727,196663,0.243965841,3.686164499,inf,False,,False,10283,True,True
10191,YPR160W,GPH1,YPR160W,GPH1,Chr15,171671,165912,184082,171150,157219,172102,0.426034439,20.93223142,inf,False,,False,521,True,True
10191,YPR184W,GDB1,YPR184W,GDB1,Chr15,171671,165912,184082,170921,155276,172102,0.398960909,16.31046788,inf,False,,False,750,True,True
10191,YPR191W,QCR2,YPR191W,QCR2,Chr15,171671,165912,184082,170921,157219,173391,0.336116239,17.73644287,inf,False,,False,750,True,True
10191,YDL182W,LYS20,YDL182W,LYS20,Chr15,171671,165912,184082,171150,152424,606886,0.303878945,3.304241627,inf,False,,False,521,True,True
10194,YIR034C,LYS1,YIR034C,LYS1,Chr15,173340,165912,184082,170921,152922,189231,0.395612138,5.582247121,inf,False,,False,2419,True,True
10618,YLR179C,YLR179C; L9470.20,YLR179C,YLR179C,Chr15,656377,649242,660805,657044,653760,700968,0.206593792,3.568357896,inf,False,,False,667,True,True
10180,YMR226C,YMR226C; YM9959.08C,YMR226C,YMR226C,Chr15,166369,165912,179652,172468,142645,551813,0.157446263,3.253953216,inf,False,,False,6099,True,True
11584,YKL096W,CWP1,YKL096W,CWP1,Chr16,454180,434375,458134,452986,247153,504666,0.124287907,5.426819699,inf,False,,False,1194,True,True
11890,YKR039W,GAP1,YKR039W,GAP1,Chr16,812990,798666,821586,812990,803590,816544,0.176695434,7.063592294,inf,False,,False,0,True,True
11337,YPL198W,RPL7B,YPL198W,RPL7B,Chr16,191167,174996,198072,179596,171059,195879,0.226410906,3.828630786,16466.0,False,0.0,True,11571,True,True
11740,YPR028W,YOP1; YIP2,YPR028W,YOP1,Chr16,616806,611083,627281,618453,616806,623271,0.145856811,137.0575688,6718.0,False,0.0,True,1647,True,True
11956,YPR173C,,YPR173C,VPS4,Chr16,888040,883992,892106,885979,863056,897736,0.157258688,9.014418478,207.0,True,0.0,True,2061,True,True
