SNP,CHR,BP,gene,EFFECTSIZE,Effect,P,FDR,locus_id,GENE,snps_class_up,snps_class_down,PPI,DRUG,-log10_P,LD_b075,LD_b050,PPI_SNP,PPI_block
2882,5,59387,ERG11_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.425882743772781,-0.421562084287536,8.11756801866994e-06,0.0049853301204839,ARS507,ARS507,Other features,Replication,ERG11_MID2,noDrug,5.090574063649388,2882,2882,ERG11_MID2-2882,ERG11_MID2-2882
982,3,79867,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.245590451355763,-0.247426985903337,1.84180360483549e-05,0.0104762024542704,YCL024W,KCC4,ORF,Verified ORF,ERG11_PIS1,noDrug,4.734756681350655,982_983_984,982_983_984,ERG11_PIS1-982,ERG11_PIS1-982_983_984
990,3,84735,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.27653833780171,-0.273901625840968,3.60833351320771e-06,0.0023725856364849,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG11_PIS1,noDrug,5.442693328044805,990,990,ERG11_PIS1-990,ERG11_PIS1-990
1002,3,92556,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.28828913671447,-0.277252645416116,7.82668119471372e-07,0.0005738501459341,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG11_PIS1,noDrug,6.106422355996963,1002_1003,1002_1003_1004,ERG11_PIS1-1002,ERG11_PIS1-1002_1003
1004,3,92716,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.280932844379491,-0.25325167575612,3.90464610577116e-06,0.0025496980846272,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ERG11_PIS1,noDrug,5.408418321908455,1004,1002_1003_1004,ERG11_PIS1-1004,ERG11_PIS1-1004
1006,3,95493,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.275783603518328,-0.273351271605186,1.7938294869428e-06,0.001246272082744,YCL016C,DCC1,ORF,Verified ORF,ERG11_PIS1,noDrug,5.746218841336121,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERG11_PIS1-1006,ERG11_PIS1-1006
1010,3,101685,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.266088707553822,-0.265999029969043,1.21681015909306e-06,0.0008688903485361,YCL014W,BUD3,Close to 3'-UTR,Close to 3'-UTR,ERG11_PIS1,noDrug,5.914777173034907,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERG11_PIS1-1010,ERG11_PIS1-1007_1008_1009_1010_1011
1083,3,190765,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.214561734749471,-0.215014633493173,2.68372023949414e-05,0.0147162150821444,YCR034W,ELO2,ORF,Verified ORF,ERG11_PIS1,noDrug,4.571262758538978,1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ERG11_PIS1-1083,ERG11_PIS1-1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083
1092,3,198348,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.208054035410283,-0.207985820095573,4.60970188939687e-05,0.0236822127424003,YCR038C,BUD5,ORF,Verified ORF,ERG11_PIS1,noDrug,4.336327159637728,1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ERG11_PIS1-1092,ERG11_PIS1-1084_1085_1086_1087_1088_1089_1090_1091_1092_1093
6449,10,633525,ERG11_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.212084239131458,-0.21243368618183,3.31080356920989e-05,0.0177028148089137,YJR110W_NFR/NDR,,Promoter,Promoter,ERG11_PIS1,noDrug,4.48006658528202,6449_6450,6445_6446_6447_6448_6449_6450,ERG11_PIS1-6449,ERG11_PIS1-6449_6450
1002,3,92556,ERG11_TPO4_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.299630444137366,-0.283783118089118,5.69381555149421e-05,0.0283362966290078,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG11_TPO4,noDrug,4.244596605728883,1002_1003,1002_1003_1004,ERG11_TPO4-1002,ERG11_TPO4-1002_1003
1006,3,95493,ERG11_TPO4_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.290425694671367,-0.287998959165543,7.96617768801551e-05,0.0376304087148917,YCL016C,DCC1,ORF,Verified ORF,ERG11_TPO4,noDrug,4.098750010748184,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERG11_TPO4-1006,ERG11_TPO4-1006
1010,3,101685,ERG11_TPO4_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.308392255108924,-0.310605598502407,9.74934592596812e-06,0.0058963779065148,YCL014W,BUD3,Close to 3'-UTR,Close to 3'-UTR,ERG11_TPO4,noDrug,5.011024519713901,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERG11_TPO4-1010,ERG11_TPO4-1007_1008_1009_1010_1011
982,3,79867,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.293128871695453,-0.288563262067149,6.91635917660464e-07,0.0005108645184737,YCL024W,KCC4,ORF,Verified ORF,ERG27_ACF2,noDrug,6.160122461267548,982_983_984,982_983_984,ERG27_ACF2-982,ERG27_ACF2-982_983_984
990,3,84735,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.279942661007145,-0.26679338029429,5.88470888821954e-06,0.0037053883378491,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG27_ACF2,noDrug,5.230275016485282,990,990,ERG27_ACF2-990,ERG27_ACF2-990
992,3,84780,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.273353988655961,-0.251288459329285,8.9656471572278e-05,0.0415274773576689,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG27_ACF2,noDrug,4.04741835678009,992,992,ERG27_ACF2-992,ERG27_ACF2-992
1002,3,92556,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.278825080611974,-0.266678274925396,4.06491282283833e-06,0.0026446456588513,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG27_ACF2,noDrug,5.390948763960748,1002_1003,1002_1003_1004,ERG27_ACF2-1002,ERG27_ACF2-1002_1003
1004,3,92716,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.280099095066511,-0.269487726848201,8.81263733801815e-06,0.0053746587965506,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ERG27_ACF2,noDrug,5.054894101810057,1004,1002_1003_1004,ERG27_ACF2-1004,ERG27_ACF2-1004
1010,3,101685,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.22794345492369,-0.22611384021745,6.40388219060008e-05,0.0313033729401039,YCL014W,BUD3,Close to 3'-UTR,Close to 3'-UTR,ERG27_ACF2,noDrug,4.193556666203537,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERG27_ACF2-1010,ERG27_ACF2-1007_1008_1009_1010_1011
1073,3,186935,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.21807348353411,-0.218073483534729,3.58383157003492e-05,0.0189702900536024,YCR033W,SNT1,ORF,Verified ORF,ERG27_ACF2,noDrug,4.4456524091447545,1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ERG27_ACF2-1073,ERG27_ACF2-1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083
1093,3,198615,ERG27_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.214190685843771,-0.214104759756038,5.17502708870417e-05,0.0261356003830848,YCR038C,BUD5,ORF,Verified ORF,ERG27_ACF2,noDrug,4.2860873725485416,1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ERG27_ACF2-1093,ERG27_ACF2-1084_1085_1086_1087_1088_1089_1090_1091_1092_1093
695,2,593045,ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.192437257150666,-0.192615141325368,5.6976857621529e-05,0.028351781469961,YBR181C_NFR/NDR,,Promoter,Promoter,ERV25_EMP47,noDrug,4.244301506575353,692_693_694_695_696_697_698_699,692_693_694_695_696_697_698_699_700_701_702_703_704,ERV25_EMP47-695,ERV25_EMP47-692_693_694_695_696_697_698_699
982,3,79867,ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.237389618781137,-0.237305365698716,6.8333060987136e-06,0.0042624636059272,YCL024W,KCC4,ORF,Verified ORF,ERV25_EMP47,noDrug,5.165369124571513,982_983_984,982_983_984,ERV25_EMP47-982,ERV25_EMP47-982_983_984
992,3,84780,ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.249316283312803,-0.248330839375043,6.00369444917889e-05,0.029633769494782,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERV25_EMP47,noDrug,4.2215814187625895,992,992,ERV25_EMP47-992,ERV25_EMP47-992
1002,3,92556,ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.261836320938751,-0.255729743541216,1.13841716009088e-06,0.0008158743649401,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERV25_EMP47,noDrug,5.943698566475591,1002_1003,1002_1003_1004,ERV25_EMP47-1002,ERV25_EMP47-1002_1003
1004,3,92716,ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.257746392728965,-0.236813463082307,4.31681754688167e-06,0.0027937001732134,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ERV25_EMP47,noDrug,5.364836306696293,1004,1002_1003_1004,ERV25_EMP47-1004,ERV25_EMP47-1004
1006,3,95493,ERV25_EMP47_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.213540953911971,-0.212745468556701,6.51467886972418e-05,0.0317719409027057,YCL016C,DCC1,ORF,Verified ORF,ERV25_EMP47,noDrug,4.186106987249026,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERV25_EMP47-1006,ERV25_EMP47-1006
984,3,80444,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.307683932760599,-0.306030401334797,8.73960747846617e-06,0.0053340368883762,YCL024W,KCC4,ORF,Verified ORF,ERV25_ERG5,noDrug,5.05850807237295,982_983_984,982_983_984,ERV25_ERG5-984,ERV25_ERG5-982_983_984
990,3,84735,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.362461121012271,-0.355190139063023,3.55107062232793e-07,0.0002744168676926,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERV25_ERG5,noDrug,6.449640690530733,990,990,ERV25_ERG5-990,ERV25_ERG5-990
992,3,84780,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.392188355120853,-0.375330681309571,1.01471365819304e-06,0.000732204521602,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERV25_ERG5,noDrug,5.993656493919379,992,992,ERV25_ERG5-992,ERV25_ERG5-992
1002,3,92556,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.349988410492421,-0.343576050167965,5.29282455111364e-07,0.0003978257912728,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERV25_ERG5,noDrug,6.27631250195547,1002_1003,1002_1003_1004,ERV25_ERG5-1002,ERV25_ERG5-1002_1003
1004,3,92716,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.352236163388663,-0.314742849403627,1.26235874269316e-06,0.0008993529853519,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ERV25_ERG5,noDrug,5.898817207824054,1004,1002_1003_1004,ERV25_ERG5-1004,ERV25_ERG5-1004
1011,3,101814,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.281459295891445,-0.277430635252678,2.19323847620395e-05,0.0122477201577678,YCL012C_NFR/NDR,,Promoter,Promoter,ERV25_ERG5,noDrug,4.658914143849797,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERV25_ERG5-1011,ERV25_ERG5-1007_1008_1009_1010_1011
4406,7,625864,ERV25_ORM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.277959657212175,-0.277992487230344,6.07169224800383e-05,0.0299140817335432,YGR068C,ART5,ORF,Verified ORF,ERV25_ORM2,noDrug,4.216690249362398,4406,4396_4397_4398_4399_4400_4401_4402_4403_4404_4405_4406,ERV25_ORM2-4406,ERV25_ORM2-4406
686,2,581558,ERV25_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.382961210882573,-0.380987978928852,1.22411909664261e-06,0.0008737755096825,YBR172C_NFR/NDR,,Promoter,Promoter,ERV25_PIS1,noDrug,5.9121763268812195,686,686_687,ERV25_PIS1-686,ERV25_PIS1-686
1007,3,96560,ERV25_RBD2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.299992786485919,-0.302095159392953,9.89297401570018e-05,0.0450320942952907,YCL014W,BUD3,ORF,Verified ORF,ERV25_RBD2,noDrug,4.0046731316132655,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ERV25_RBD2-1007,ERV25_RBD2-1007_1008_1009_1010_1011
4420,7,638390,ERV25_UIP4_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.214535969157281,-0.218915404698503,5.29146170820243e-05,0.0266336430812343,YGR077C,PEX8,ORF,Verified ORF,ERV25_UIP4,noDrug,4.276424342309143,4419_4420_4421_4422,4419_4420_4421_4422_4423_4424_4425_4426_4427_4428_4429,ERV25_UIP4-4420,ERV25_UIP4-4419_4420_4421_4422
984,3,80444,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.289105688606784,-0.287964101623934,2.5748825516922e-07,0.0002034178990742,YCL024W,KCC4,ORF,Verified ORF,FMP45_HNM1,noDrug,6.589242575677262,982_983_984,982_983_984,FMP45_HNM1-984,FMP45_HNM1-982_983_984
990,3,84735,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.27875056295728,-0.263694974986486,1.61526850923913e-06,0.0011301035260988,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_HNM1,noDrug,5.791755273711807,990,990,FMP45_HNM1-990,FMP45_HNM1-990
992,3,84780,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.270753155952278,-0.253201951517005,3.74514522407081e-05,0.0197315952972779,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_HNM1,noDrug,4.426531337166182,992,992,FMP45_HNM1-992,FMP45_HNM1-992
1002,3,92556,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.30201417010363,-0.28128031671793,1.01513221323305e-07,8.45960112951929e-05,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_HNM1,noDrug,6.993477390521053,1002_1003,1002_1003_1004,FMP45_HNM1-1002,FMP45_HNM1-1002_1003
1004,3,92716,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.310722686702566,-0.283772249586355,1.42463450110168e-07,0.0001166792049456,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,FMP45_HNM1,noDrug,6.846296542332707,1004,1002_1003_1004,FMP45_HNM1-1004,FMP45_HNM1-1004
1006,3,95493,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.268001417324701,-0.264582487049003,1.92797178231839e-06,0.0013330241979573,YCL016C,DCC1,ORF,Verified ORF,FMP45_HNM1,noDrug,5.714899326695167,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,FMP45_HNM1-1006,FMP45_HNM1-1006
1010,3,101685,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.259421257656434,-0.258091220296742,1.20770582224849e-06,0.0008626364626261,YCL014W,BUD3,Close to 3'-UTR,Close to 3'-UTR,FMP45_HNM1,noDrug,5.918038839997197,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,FMP45_HNM1-1010,FMP45_HNM1-1007_1008_1009_1010_1011
1071,3,181268,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.194956298821716,-0.195477032934881,0.0001043968102045,0.0471082884390372,YCR032W,BPH1,ORF,Verified ORF,FMP45_HNM1,noDrug,3.9813127707949403,1068_1069_1070_1071_1072,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,FMP45_HNM1-1071,FMP45_HNM1-1068_1069_1070_1071_1072
1083,3,190765,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.319677014048828,-0.320050395836043,6.527436935206079e-11,7.54682385311323e-08,YCR034W,ELO2,ORF,Verified ORF,FMP45_HNM1,noDrug,10.185257315418355,1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,FMP45_HNM1-1083,FMP45_HNM1-1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083
1093,3,198615,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.354780080299301,-0.355499984101026,2.86789174529453e-13,4.1209635840461005e-10,YCR038C,BUD5,ORF,Verified ORF,FMP45_HNM1,noDrug,12.542437246068584,1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,FMP45_HNM1-1093,FMP45_HNM1-1084_1085_1086_1087_1088_1089_1090_1091_1092_1093
1095,3,203261,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.281017045251355,-0.280885630013273,1.12098582589355e-08,1.04616198178058e-05,YCR042C,TAF2,ORF,Verified ORF,FMP45_HNM1,noDrug,7.950399878729857,1095_1096_1097_1098,1095_1096_1097_1098,FMP45_HNM1-1095,FMP45_HNM1-1095_1096_1097_1098
1103,3,208234,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.207083410775262,-0.207142039317151,2.836453273431e-05,0.0154359402970371,YCR045C,RRT12,ORF,Verified ORF,FMP45_HNM1,noDrug,4.5472243664296945,1099_1100_1101_1102_1103_1104_1105_1106,1099_1100_1101_1102_1103_1104_1105_1106,FMP45_HNM1-1103,FMP45_HNM1-1099_1100_1101_1102_1103_1104_1105_1106
961,3,59518,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.23649985790919,-0.23606602753008,5.36030723988401e-05,0.0269348140597918,YCL036W,GFD2,ORF,Verified ORF,FMP45_MEP1,noDrug,4.270810316881454,961_962,961_962_963_964_965_966_967_968,FMP45_MEP1-961,FMP45_MEP1-961_962
983,3,80341,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.260983833592364,-0.262595692693014,8.56686290822936e-05,0.0399851852406907,YCL024W,KCC4,ORF,Verified ORF,FMP45_MEP1,noDrug,4.06717818286872,982_983_984,982_983_984,FMP45_MEP1-983,FMP45_MEP1-982_983_984
990,3,84735,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.283288812270595,-0.278232628501293,3.80664870701593e-05,0.0200175295376508,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_MEP1,noDrug,4.419457199792919,990,990,FMP45_MEP1-990,FMP45_MEP1-990
992,3,84780,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.34555684240233,-0.30877535088878,7.66559531187358e-06,0.0047291293752171,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_MEP1,noDrug,5.1154541120917605,992,992,FMP45_MEP1-992,FMP45_MEP1-992
1002,3,92556,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.290429037229595,-0.285322858767514,1.59546186514545e-05,0.009232405992975,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_MEP1,noDrug,4.79711357188716,1002_1003,1002_1003_1004,FMP45_MEP1-1002,FMP45_MEP1-1002_1003
1004,3,92716,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.2934772980481,-0.262296506679772,2.81941838383279e-05,0.0153662416287004,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,FMP45_MEP1,noDrug,4.549840472795466,1004,1002_1003_1004,FMP45_MEP1-1004,FMP45_MEP1-1004
1006,3,95493,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.318555415176125,-0.312894666338877,1.56082738600531e-06,0.0010950818862901,YCL016C,DCC1,ORF,Verified ORF,FMP45_MEP1,noDrug,5.806645123491393,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,FMP45_MEP1-1006,FMP45_MEP1-1006
1010,3,101685,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.272200131726789,-0.269903507063604,1.65450010978569e-05,0.0095371179949719,YCL014W,BUD3,Close to 3'-UTR,Close to 3'-UTR,FMP45_MEP1,noDrug,4.781333199686166,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,FMP45_MEP1-1010,FMP45_MEP1-1007_1008_1009_1010_1011
1071,3,181268,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.232580159195671,-0.233279910555795,8.52952774519006e-05,0.0398457651038399,YCR032W,BPH1,ORF,Verified ORF,FMP45_MEP1,noDrug,4.069075013772188,1068_1069_1070_1071_1072,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,FMP45_MEP1-1071,FMP45_MEP1-1068_1069_1070_1071_1072
1075,3,187956,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.307272579297012,-0.306043709756713,2.95418942508571e-07,0.0002313293753624,YCR033W,SNT1,ORF,Verified ORF,FMP45_MEP1,noDrug,6.5295616608074445,1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,FMP45_MEP1-1075,FMP45_MEP1-1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083
1093,3,198615,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.346031507760021,-0.345913870109641,2.3891327010689403e-09,2.39409164102772e-06,YCR038C,BUD5,ORF,Verified ORF,FMP45_MEP1,noDrug,8.621759727294313,1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,FMP45_MEP1-1093,FMP45_MEP1-1084_1085_1086_1087_1088_1089_1090_1091_1092_1093
1096,3,204854,FMP45_MEP1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.257821548539682,-0.258050887377268,1.0772122992257e-05,0.006463170017676,YCR042C,TAF2,ORF,Verified ORF,FMP45_MEP1,noDrug,4.967698696612774,1095_1096_1097_1098,1095_1096_1097_1098,FMP45_MEP1-1096,FMP45_MEP1-1095_1096_1097_1098
982,3,79867,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.262298722278812,-0.263197487134623,2.80192630414467e-06,0.0018842922879059,YCL024W,KCC4,ORF,Verified ORF,FMP45_MID2,noDrug,5.552543291649891,982_983_984,982_983_984,FMP45_MID2-982,FMP45_MID2-982_983_984
990,3,84735,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.231235995063168,-0.214709065241979,8.12230810683926e-05,0.0382564052877522,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_MID2,noDrug,4.090320540263098,990,990,FMP45_MID2-990,FMP45_MID2-990
992,3,84780,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.287021587944993,-0.277455035463877,1.31683952559547e-05,0.0077638151295828,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_MID2,noDrug,4.880467146370577,992,992,FMP45_MID2-992,FMP45_MID2-992
1002,3,92556,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.275147949852467,-0.255345783836761,1.49656622459724e-06,0.0010538544943185,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,FMP45_MID2,noDrug,5.824904060420324,1002_1003,1002_1003_1004,FMP45_MID2-1002,FMP45_MID2-1002_1003
1004,3,92716,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.279718081818833,-0.255484294061679,2.6299474791754e-06,0.0017755067648299,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,FMP45_MID2,noDrug,5.5800529244121675,1004,1002_1003_1004,FMP45_MID2-1004,FMP45_MID2-1004
1006,3,95493,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.259895994448809,-0.259923174047482,4.3999309567809e-06,0.0028428111011397,YCL016C,DCC1,ORF,Verified ORF,FMP45_MID2,noDrug,5.35655413836025,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,FMP45_MID2-1006,FMP45_MID2-1006
1011,3,101814,FMP45_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.214910330529666,-0.219924451426813,7.69435013127656e-05,0.0365488170858547,YCL012C_NFR/NDR,,Promoter,Promoter,FMP45_MID2,noDrug,4.113828055016264,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,FMP45_MID2-1011,FMP45_MID2-1007_1008_1009_1010_1011
